,value
2023-09-12,445.99
2023-08-31,450.35
2023-07-31,457.79
2023-06-30,443.28
2023-05-31,416.298
2023-04-28,414.3851
2023-03-31,407.8694
2023-02-28,393.2693
2023-01-31,403.4122
2022-12-30,379.5437
2022-11-30,402.7313
2022-10-31,381.5219
2022-09-30,352.8443
2022-08-31,388.7733
2022-07-29,405.3108
2022-06-30,371.134
2022-05-31,404.4922
2022-04-29,403.5812
2022-03-31,442.4111
2022-02-28,426.3975
2022-01-31,439.3663
2021-12-31,463.8293
2021-11-30,443.3093
2021-10-29,446.9
2021-09-30,417.5997
2021-08-31,437.9997
2021-07-30,425.3416
2021-06-30,415.2054
2021-05-28,406.0797
2021-04-30,403.4308
2021-03-31,383.1577
2021-02-26,366.516
2021-01-29,356.6006
2020-12-31,360.2719
2020-11-30,347.3953
2020-10-30,313.314
2020-09-30,321.3258
2020-08-31,333.8097
2020-07-31,312.031
2020-06-30,294.6768
2020-05-29,289.5344
2020-04-30,276.3669
2020-03-31,245.2271
2020-02-28,280.1451
2020-01-31,304.2296
2019-12-31,304.3526
2019-11-29,295.7654
2019-10-31,285.4333
2019-09-30,279.2603
2019-08-30,273.9246
2019-07-31,278.5891
2019-06-28,274.4397
2019-05-31,256.5834
2019-04-30,274.0606
2019-03-29,263.304
2019-02-28,258.6283
2019-01-31,250.5079
2018-12-31,231.9376
2018-11-30,254.2998
2018-10-31,249.6686
2018-09-28,268.2026
2018-08-31,266.6166
2018-07-31,258.3695
2018-06-29,249.1398
2018-05-31,247.7141
2018-04-30,241.8353
2018-03-29,240.5919
2018-02-28,247.3738
2018-01-31,256.7078
2017-12-29,243.0118
2017-11-30,240.1097
2017-10-31,232.9882
2017-09-29,227.6245
2017-08-31,223.1304
2017-07-31,222.4813
2017-06-30,218.0005
2017-05-31,216.6197
2017-04-28,213.6051
2017-03-31,211.5056
2017-02-28,211.2399
2017-01-31,203.2537
2016-12-30,199.6805
2016-11-30,195.7109
2016-10-31,188.7573
2016-09-30,192.0876
2016-08-31,192.0726
2016-07-29,191.8429
2016-06-30,185.0923
2016-05-31,184.4472
2016-04-29,181.362
2016-03-31,180.65
2016-02-29,169.268
2016-01-29,169.4079
2015-12-31,178.2841
2015-11-30,181.4004
2015-10-30,180.7398
2015-09-30,166.5365
2015-08-31,170.8049
2015-07-31,181.9677
2015-06-30,178.0248
2015-05-29,181.6766
2015-04-30,179.3705
2015-03-31,177.6238
2015-02-27,180.4652
2015-01-30,170.862
2014-12-31,176.0791
2014-11-28,176.531
2014-10-31,171.811
2014-09-30,167.8578
2014-08-29,170.2052
2014-07-31,163.7433
2014-06-30,165.9736
2014-05-30,162.6182
2014-04-30,158.93
2014-03-31,157.8328
2014-02-28,156.5319
2014-01-31,149.7174
2013-12-31,155.1875
2013-11-29,151.2703
2013-10-31,146.916
2013-09-30,140.4139
2013-08-30,136.102
2013-07-31,140.3102
2013-06-28,133.4157
2013-05-31,135.2224
2013-04-30,132.1034
2013-03-28,129.6133
2013-02-28,124.8712
2013-01-31,123.2981
2012-12-31,117.2938
2012-11-30,116.2477
2012-10-31,115.5935
2012-09-28,117.7361
2012-08-31,114.8246
2012-07-31,112.0182
2012-06-29,110.7086
2012-05-31,106.3965
2012-04-30,113.1945
2012-03-30,113.9552
2012-02-29,110.4049
2012-01-31,105.8121
2011-12-30,101.1226
2011-11-30,100.0778
2011-10-31,100.4861
2011-09-30,90.5977
2011-08-31,97.3592
2011-07-29,103.0229
2011-06-30,105.1259
2011-05-31,106.9317
