date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
2009-08-16,16.63,17.0,15.5,16.6,12.249,7966100.0,0.0
2009-08-23,16.27,17.97,16.2,17.82,13.1492,6517600.0,0.0
2009-08-30,17.52,19.0,17.15,18.47,13.6289,4717100.0,0.0
2009-09-06,18.35,18.44,16.94,17.76,13.105,8498000.0,0.0
2009-09-13,17.76,17.93,16.54,16.88,12.4556,2161600.0,0.0
2009-09-20,16.64,17.9,16.18,16.2,11.9538,7968800.0,0.0
2009-09-27,16.28,17.8488,15.87,17.13,12.6401,3444700.0,0.0
2009-10-04,17.32,17.85,15.9002,16.09,11.8727,2393000.0,0.0
2009-10-11,16.1,17.1993,15.92,16.25,11.9907,2377800.0,0.0
2009-10-18,16.22,17.95,16.04,16.43,12.1236,5897400.0,0.0
2009-10-25,16.46,16.91,15.61,16.05,11.8432,4983200.0,0.0
2009-11-01,15.91,16.12,14.7184,15.0,11.0684,2574600.0,0.0
2009-11-08,15.1,15.74,14.33,15.29,11.2824,1977200.0,0.0
2009-11-15,15.26,15.95,15.09,15.58,11.4963,745300.0,0.0
2009-11-22,15.63,16.21,15.25,15.44,11.393,909900.0,0.0
2009-11-29,15.54,15.98,15.01,15.86,11.703,1185000.0,0.0
2009-12-06,15.87,16.71,15.25,16.52,12.19,2995500.0,0.0
2009-12-13,16.5,16.99,16.34,16.58,12.2342,987500.0,0.0
2009-12-20,16.74,17.13,16.14,16.39,12.094,1247700.0,0.0
2009-12-27,16.79,17.0,16.23,16.78,12.3818,711300.0,0.0
2010-01-03,16.75,18.29,16.75,18.29,13.496,1881300.0,0.0
2010-01-10,18.3,19.3,18.01,19.17,14.1454,1934600.0,0.0
2010-01-17,19.2,19.55,18.15,18.24,13.4591,3597400.0,0.0
2010-01-24,17.9,18.49,17.3,17.56,12.9574,1837200.0,0.0
2010-01-31,17.67,18.0,16.842,17.38,12.8246,19537700.0,0.0
2010-02-07,17.38,17.8,16.6,17.2,12.6917,5483500.0,0.0
2010-02-14,17.08,17.39,16.5,17.36,12.8098,1799100.0,0.0
2010-02-21,17.4,17.62,17.17,17.53,12.9352,1766900.0,0.0
2010-02-28,17.5,18.39,17.13,18.15,13.3927,6119400.0,0.0
2010-03-07,18.7,19.94,18.12,19.36,14.2856,3689900.0,0.0
2010-03-14,19.48,20.0,19.09,19.65,14.4996,2582700.0,0.0
2010-03-21,19.56,20.28,19.03,20.11,14.839,1498600.0,0.0
2010-03-28,19.87,20.3,19.31,19.91,14.6914,2017300.0,0.0
2010-04-04,20.09,20.8,19.94,20.5,15.1268,1636600.0,0.0
2010-04-11,20.69,20.83,19.79,20.01,14.7652,1330900.0,0.0
2010-04-18,19.92,22.0,19.67,21.88,16.1451,1960400.0,0.0
2010-04-25,21.68,22.88,20.97,21.49,15.8573,2710200.0,0.0
2010-05-02,21.35,22.025,20.49,20.51,15.1342,1498300.0,0.0
2010-05-09,20.65,21.47,18.3812,19.29,14.2339,3122500.0,0.0
2010-05-16,20.0,20.92,19.72,20.23,14.9275,2261900.0,0.0
2010-05-23,20.25,20.88,18.93,19.81,14.6176,3145900.0,0.0
2010-05-30,19.75,21.55,18.52,20.65,15.2375,3968000.0,0.0
2010-06-06,20.66,22.0,20.34,20.81,15.3555,2279900.0,0.0
2010-06-13,20.88,21.98,20.5519,21.93,16.182,4533000.0,0.0
2010-06-20,22.15,23.694,21.31,23.04,17.001,8567000.0,0.0
2010-06-27,23.39,23.4,20.73,21.47,15.8425,14421400.0,0.0
2010-07-04,21.54,21.86,20.36,21.57,15.9163,5341800.0,0.0
2010-07-11,21.81,22.21,20.5,22.01,16.241,2625000.0,0.0
2010-07-18,21.85,23.0,21.45,21.99,16.2262,3192200.0,0.0
2010-07-25,22.05,23.13,21.6,22.88,16.883,3213400.0,0.0
2010-08-01,22.89,23.06,21.09,21.76,16.0565,2804000.0,0.0
2010-08-08,21.98,22.8,21.251,22.59,16.669,2780400.0,0.0
2010-08-15,22.68,22.93,19.281,19.99,14.7504,8719100.0,0.0
2010-08-22,19.99,20.85,19.71,20.43,15.0751,4099500.0,0.0
2010-08-29,20.44,21.02,19.71,20.31,14.9866,4620600.0,0.0
2010-09-05,20.21,21.36,19.7,20.98,15.481,3162500.0,0.0
2010-09-12,20.79,20.99,18.41,18.65,13.7617,5603400.0,0.0
2010-09-19,18.77,20.32,18.61,20.04,14.7873,5880400.0,0.0
2010-09-26,20.14,21.92,19.79,21.58,15.9237,5472600.0,0.0
2010-10-03,21.98,23.0,21.73,22.63,16.6985,3388400.0,0.0
2010-10-10,22.6,22.97,21.84,22.2,16.3812,4152000.0,0.0
2010-10-17,22.26,22.72,21.54,22.69,16.7428,3905400.0,0.0
2010-10-24,22.76,22.78,21.9,22.4775,16.586,2161500.0,0.0
2010-10-31,22.5,24.95,22.41,24.68,18.2112,5963800.0,0.0
2010-11-07,24.5,25.7,23.77,25.37,18.7203,3459000.0,0.0
2010-11-14,25.15,25.81,23.85,25.72,18.9786,3269600.0,0.0
2010-11-21,25.95,25.96,24.42,25.27,18.6465,2715600.0,0.0
2010-11-28,25.33,27.05,25.33,27.01,19.9304,3003900.0,0.0
2010-12-05,27.07,28.48,26.0912,26.55,19.591,12642100.0,0.0
2010-12-12,26.85,26.89,24.48,26.4,19.4803,22353200.0,0.0
2010-12-19,26.6,28.4,25.91,28.17,20.8411,10046800.0,0.07
2010-12-26,27.89,28.46,27.39,28.13,20.8115,4503700.0,0.0
2011-01-02,28.1,28.94,27.82,28.4125,21.0206,3843500.0,0.0
2011-01-09,28.7,28.7,26.97,28.275,20.9188,5860700.0,0.0
2011-01-16,28.26,29.33,27.93,29.01,21.4626,6395400.0,0.0
2011-01-23,27.6501,28.5,27.23,27.77,20.5452,16343000.0,0.0
2011-01-30,28.22,29.44,27.4,28.05,20.7524,10227600.0,0.0
2011-02-06,28.04,31.22,27.95,31.2,23.0828,7806500.0,0.0
2011-02-13,31.17,33.35,30.56,33.29,24.6291,15013000.0,0.0
2011-02-20,33.58,34.6,33.31,33.85,25.0434,10841600.0,0.0
2011-02-27,33.24,34.59,30.915,34.36,25.4207,10785300.0,0.0
2011-03-06,34.34,34.53,31.841,32.79,24.2592,19754400.0,0.0
2011-03-13,33.0,33.0,30.15,31.23,23.105,12956700.0,0.0
2011-03-20,31.09,31.28,28.27,30.32,22.4925,13377400.0,0.08
2011-03-27,30.8,31.33,30.35,30.85,22.8857,6998000.0,0.0
2011-04-03,30.87,31.8951,30.61,31.52,23.3827,7463300.0,0.0
2011-04-10,31.59,33.14,29.96,32.57,24.1616,8552700.0,0.0
2011-04-17,32.3,32.63,30.5802,31.74,23.5459,6037000.0,0.0
2011-04-24,31.39,33.06,30.53,32.6,24.1839,3477700.0,0.0
2011-05-01,32.54,33.82,31.85,33.46,24.8219,4221600.0,0.0
2011-05-08,33.74,35.0,31.92,34.91,25.8975,5358800.0,0.0
2011-05-15,35.0,36.18,34.65,34.89,25.8827,7470300.0,0.0
2011-05-22,34.7,35.21,33.66,34.39,25.5118,4720400.0,0.0
2011-05-29,33.92,35.12,31.48,35.01,25.9717,15565800.0,0.0
2011-06-05,33.86,34.25,32.98,33.89,25.1409,20495300.0,0.0
2011-06-12,33.5999,34.64,33.25,33.77,25.0518,12789900.0,0.0
2011-06-19,33.77,34.46,32.185,32.5,24.1744,10606900.0,0.09
2011-06-26,32.46,36.29,32.19,35.52,26.4207,21671900.0,0.0
2011-07-03,35.55,38.99,35.0,38.66,28.7563,12072000.0,0.0
2011-07-10,38.75,39.45,37.03,37.96,28.2356,6516500.0,0.0
2011-07-17,37.41,38.12,34.95,35.51,26.4133,10480900.0,0.0
2011-07-24,35.28,37.39,34.4,37.07,27.5736,8013500.0,0.0
2011-07-31,36.64,36.95,32.41,33.63,25.0149,16758700.0,0.0
2011-08-07,34.0,34.1,29.09,29.34,21.8239,13161900.0,0.0
2011-08-14,28.61,32.0,26.42,31.04,23.0884,16904900.0,0.0
2011-08-21,31.19,32.4,28.15,28.29,21.0428,8921300.0,0.0
2011-08-28,28.79,33.46,27.26,31.52,23.4454,17709700.0,0.0
2011-09-04,31.97,34.5,30.51,31.13,23.1553,10151400.0,0.0
2011-09-11,30.49,33.35,30.221,32.3,24.0256,6481000.0,0.0
2011-09-18,32.63,37.61,31.797,36.49,27.2235,13619700.0,0.11
2011-09-25,35.99,37.99,32.97,34.8,25.9627,15758500.0,0.0
2011-10-02,34.82,35.15,32.27,32.77,24.4482,25596800.0,0.0
2011-10-09,32.79,33.43,30.86,32.88,24.5302,15204700.0,0.0
2011-10-16,33.0,35.81,32.91,35.7,26.6341,17469000.0,0.0
2011-10-23,35.35,35.97,33.12,33.84,25.2464,11986900.0,0.0
2011-10-30,34.08,35.61,31.09,33.59,25.0599,18820700.0,0.0
2011-11-06,33.02,34.7,32.28,34.38,25.6493,12196400.0,0.0
2011-11-13,34.34,34.86,32.89,34.29,25.5822,6332300.0,0.0
2011-11-20,34.12,34.31,29.51,29.86,22.2772,9910200.0,0.0
2011-11-27,29.37,30.22,28.31,28.44,21.2178,9317300.0,0.0
2011-12-04,29.33,31.64,28.12,31.16,23.247,22204000.0,0.0
2011-12-11,31.52,31.94,29.79,30.61,22.8367,14415700.0,0.0
2011-12-18,28.62,30.09,27.59,28.8,21.5764,20506300.0,0.12
2011-12-25,28.83,29.61,27.39,29.39,22.0184,12790100.0,0.0
2012-01-01,29.27,29.53,28.65,28.86,21.6213,3995300.0,0.0
2012-01-08,29.48,30.17,28.02,28.31,21.2093,8771800.0,0.0
2012-01-15,29.3,32.0,29.25,31.57,23.6516,13156500.0,0.0
2012-01-22,31.7,35.0,31.47,33.81,25.3298,13106400.0,0.0
2012-01-29,33.85,34.55,33.28,33.98,25.4571,13625900.0,0.0
2012-02-05,33.6,35.48,33.35,35.125,26.3149,13218000.0,0.0
2012-02-12,35.0,35.4,33.95,34.49,25.8392,6964900.0,0.0
2012-02-19,34.85,35.9499,34.015,35.24,26.4011,8771400.0,0.0
2012-02-26,35.48,37.4,35.278,36.32,27.2102,11171300.0,0.0
2012-03-04,36.21,37.8,35.54,36.6,27.42,11445100.0,0.0
2012-03-11,36.52,36.82,34.6,36.77,27.5473,8845900.0,0.0
2012-03-18,36.73,38.8,36.1,37.9,28.4916,8367600.0,0.13
2012-03-25,37.77,38.6,37.5,38.1,28.642,7584700.0,0.0
2012-04-01,38.46,39.22,37.5,38.97,29.296,8820000.0,0.0
2012-04-08,38.89,39.01,37.09,37.61,28.2736,5360000.0,0.0
2012-04-15,37.24,38.45,36.57,37.28,28.0256,6968000.0,0.0
2012-04-22,37.39,37.945,33.61,34.28,25.7703,14713500.0,0.0
2012-04-29,33.77,35.315,32.38,34.6,26.0108,15460300.0,0.0
2012-05-06,34.42,34.95,31.565,31.63,23.7781,9104600.0,0.0
2012-05-13,31.56,31.99,30.61,30.94,23.2594,12430600.0,0.0
2012-05-20,30.68,31.66,29.71,30.02,22.5678,10126600.0,0.0
2012-05-27,30.0,33.59,29.7,33.15,24.9208,14751400.0,0.0
2012-06-03,33.55,34.51,30.86,30.98,23.2895,10344900.0,0.0
2012-06-10,31.22,34.04,30.175,33.84,25.4395,14930400.0,0.0
2012-06-17,34.09,34.49,32.655,34.07,25.7278,9649200.0,0.15
2012-06-24,33.95,35.54,33.81,34.8,26.279,14427500.0,0.0
2012-07-01,34.38,35.94,33.93,35.9,27.1097,8959400.0,0.0
2012-07-08,35.77,36.19,34.07,34.48,26.0374,5495000.0,0.0
2012-07-15,34.5,34.599,32.14,33.15,25.033,10018300.0,0.0
2012-07-22,32.97,36.4,32.38,35.28,26.6415,10266500.0,0.0
2012-07-29,34.64,36.47,33.73,36.13,27.2833,6992800.0,0.0
2012-08-05,36.32,37.64,35.72,37.11,28.0234,7854800.0,0.0
2012-08-12,37.19,37.7,36.77,37.15,28.0536,6855800.0,0.0
2012-08-19,37.15,37.88,35.98,36.84,27.8195,11729000.0,0.0
2012-08-26,36.95,36.95,35.41,36.05,27.2229,8304000.0,0.0
2012-09-02,36.07,36.86,35.64,36.57,27.6156,6751500.0,0.0
2012-09-09,36.37,36.83,35.05,36.2,27.3362,7644000.0,0.0
2012-09-16,35.96,36.19,34.45,35.06,26.4753,9836000.0,0.0
2012-09-23,35.19,36.115,33.22,35.51,26.9372,15552900.0,0.16
2012-09-30,35.0,35.14,32.39,34.865,26.4479,18650900.0,0.0
2012-10-07,35.14,35.54,34.0,34.44,26.1255,9098400.0,0.0
2012-10-14,34.0,34.23,32.54,32.9787,25.017,8578600.0,0.0
2012-10-21,33.1,34.6,32.8,33.19,25.1773,8099600.0,0.0
2012-10-28,33.48,33.99,32.59,33.83,25.6628,6520100.0,0.0
2012-11-04,33.62,34.85,32.815,33.97,25.769,6079900.0,0.0
2012-11-11,33.0,35.28,32.99,33.48,25.3973,8212800.0,0.0
2012-11-18,33.58,33.89,31.68,31.94,24.2291,6840700.0,0.0
2012-11-25,32.28,33.74,32.01,33.55,25.4504,4454800.0,0.0
2012-12-02,33.75,35.43,33.41,35.1,26.6262,11850500.0,0.0
2012-12-09,35.39,35.58,33.95,34.25,25.9814,14729100.0,0.0
2012-12-16,34.38,35.01,30.5,31.1397,23.7411,28465200.0,0.17
2012-12-23,31.39,32.5,31.01,31.36,23.9091,19587200.0,0.0
2012-12-30,31.29,31.565,30.69,31.1511,23.7498,7149600.0,0.0
2013-01-06,31.33,33.06,30.97,32.5,24.7782,11376800.0,0.0
2013-01-13,32.37,34.365,32.09,34.34,26.1811,15970900.0,0.0
2013-01-20,33.84,34.97,33.64,34.44,26.2573,15055800.0,0.0
2013-01-27,34.45,35.0,33.59,34.16,26.0438,11625600.0,0.0
2013-02-03,34.4,36.3,34.11,36.26,27.6449,18311600.0,0.0
2013-02-10,35.75,36.21,34.535,35.32,26.9282,16900500.0,0.0
2013-02-17,35.38,35.78,34.78,35.14,26.791,14550200.0,0.0
2013-02-24,35.0,35.73,32.96,34.09,25.9905,13847500.0,0.0
2013-03-03,34.13,34.37,32.66,33.7,25.6931,16744500.0,0.0
2013-03-10,33.56,35.41,33.01,35.27,26.8901,12255100.0,0.0
2013-03-17,35.08,36.98,34.97,36.0,27.4466,15604100.0,0.0
2013-03-24,35.58,36.08,35.04,35.8,27.44,13684700.0,0.19
2013-03-31,35.87,35.98,35.25,35.9,27.5166,5204500.0,0.0
2013-04-07,35.82,36.0,33.33,34.33,26.3133,8961500.0,0.0
2013-04-14,34.25,35.92,33.97,34.91,26.7578,7758900.0,0.0
2013-04-21,34.68,34.73,30.83,31.26,23.9602,18937100.0,0.0
2013-04-28,31.36,33.19,30.57,32.11,24.6117,15007000.0,0.0
2013-05-05,32.35,32.79,31.25,31.88,24.4354,18944600.0,0.0
2013-05-12,32.05,34.14,31.96,34.06,26.1063,11979100.0,0.0
2013-05-19,33.83,34.78,33.33,34.43,26.3899,10002900.0,0.0
2013-05-26,34.24,35.24,33.675,34.1,26.137,11212800.0,0.0
2013-06-02,34.53,38.266,34.01,37.73,28.9193,15981600.0,0.0
2013-06-09,37.68,38.19,36.15,37.29,28.5821,13581300.0,0.0
2013-06-16,37.5,37.8,35.62,37.59,28.975,12023400.0,0.21
2013-06-23,37.8,38.87,36.615,37.38,28.8132,18781300.0,0.0
2013-06-30,36.98,37.84,36.1,37.38,28.8132,13289500.0,0.0
2013-07-07,37.85,39.18,37.34,38.81,29.9154,9717400.0,0.0
2013-07-14,38.93,39.03,37.19,38.95,30.0234,8897200.0,0.0
2013-07-21,38.98,39.74,37.45,37.85,29.1755,13160400.0,0.0
2013-07-28,38.23,38.23,36.3,36.78,28.3507,8464400.0,0.0
2013-08-04,36.62,37.52,36.34,37.49,28.898,7255100.0,0.0
2013-08-11,37.22,37.6,36.68,36.83,28.3892,7379200.0,0.0
2013-08-18,36.84,38.12,35.75,36.25,27.9421,7755900.0,0.0
2013-08-25,36.32,37.13,36.08,36.74,28.3198,8348300.0,0.0
2013-09-01,36.95,39.45,36.355,38.51,29.6842,17258700.0,0.0
2013-09-08,38.82,39.2,38.04,38.56,29.7227,6146600.0,0.0
2013-09-15,38.87,39.67,38.61,38.99,30.0542,9912100.0,0.0
2013-09-22,39.37,42.58,39.04,41.62,32.2654,19466000.0,0.23
2013-09-29,42.58,42.77,41.42,42.7,33.1026,11892000.0,0.0
2013-10-06,42.1,43.725,41.97,43.5,33.7228,12006900.0,0.0
2013-10-13,43.5,43.67,41.83,43.29,33.56,11530600.0,0.0
2013-10-20,43.13,46.28,43.01,46.06,35.7074,10664600.0,0.0
2013-10-27,46.15,47.21,44.71,45.63,35.3741,19978000.0,0.0
2013-11-03,45.35,46.28,44.4,44.72,34.6686,10141800.0,0.0
2013-11-10,45.09,45.5,43.1,44.35,34.3818,10517800.0,0.0
2013-11-17,44.44,45.38,42.58,44.61,34.5833,14047000.0,0.0
2013-11-24,44.61,44.72,42.45,43.3,33.5678,6349700.0,0.0
2013-12-01,43.93,45.09,43.4,44.73,34.6763,6520000.0,0.0
2013-12-08,45.49,48.31,44.42,46.96,36.4051,14058500.0,0.0
2013-12-15,47.09,47.54,45.605,45.65,35.3896,7927500.0,0.0
2013-12-22,49.71,54.54,48.36,51.65,40.2293,31080600.0,0.25
2013-12-29,52.28,53.06,51.8,52.78,41.1095,3548900.0,0.0
2014-01-05,52.79,53.3,51.89,52.85,41.164,4581500.0,0.0
2014-01-12,52.8,54.17,52.43,53.3,41.5145,7799100.0,0.0
2014-01-19,53.62,57.175,52.39,56.14,43.7265,13125100.0,0.0
2014-01-26,56.61,57.18,54.15,54.49,42.4414,7510000.0,0.0
2014-02-02,54.62,55.94,52.96,54.6375,42.5562,9800100.0,0.0
2014-02-09,54.8,56.84,52.96,56.57,44.0614,6901700.0,0.0
2014-02-16,56.19,59.8,55.57,58.08,45.2375,10634900.0,0.0
2014-02-23,58.51,59.5,57.49,58.55,45.6036,7075000.0,0.0
2014-03-02,58.51,63.49,58.39,61.7,48.0571,12841100.0,0.0
2014-03-09,61.15,64.23,60.851,62.75,48.8749,10405200.0,0.0
2014-03-16,62.93,64.5,60.45,62.68,48.8204,10262400.0,0.0
2014-03-23,63.03,65.83,62.76,63.9,49.9812,8786800.0,0.27
2014-03-30,64.03,64.98,61.84,64.11,50.1455,10894700.0,0.0
2014-04-06,64.5,65.58,60.04,61.8,48.3386,11818200.0,0.0
2014-04-13,61.0,62.56,58.46,58.53,45.7809,12688400.0,0.0
2014-04-20,58.45,61.66,57.27,60.89,47.6268,8144100.0,0.0
2014-04-27,60.97,65.48,60.82,62.34,48.761,10915900.0,0.0
2014-05-04,62.91,64.989,60.005,64.27,50.2706,11000900.0,0.0
2014-05-11,63.87,68.93,63.02,67.41,52.7267,79401100.0,0.0
2014-05-18,67.93,69.6,67.11,68.48,53.5636,16479500.0,0.0
2014-05-25,69.1,70.61,66.92,70.55,55.1827,13146600.0,0.0
2014-06-01,71.03,72.0,69.41,70.67,55.2766,13306800.0,0.0
2014-06-08,71.21,72.35,70.6,71.63,56.0274,11144000.0,0.0
2014-06-15,71.88,72.5,70.91,71.42,55.8632,8588400.0,0.0
2014-06-22,71.47,71.95,70.34,71.57,56.2076,7788600.0,0.29
2014-06-29,71.61,72.3,70.06,70.94,55.7129,6654100.0,0.0
2014-07-06,70.92,75.37,70.92,75.18,59.0428,6327700.0,0.0
2014-07-13,75.43,75.55,72.05,73.2,57.4878,7602900.0,0.0
2014-07-20,74.57,75.26,71.66,75.0,58.9014,9374300.0,0.0
2014-07-27,74.52,76.44,69.71,69.92,54.9118,12132900.0,0.0
2014-08-03,70.02,71.172,68.71,70.44,55.3202,10608600.0,0.0
2014-08-10,70.32,71.6,69.32,70.43,55.3123,6523800.0,0.0
