date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
2004-08-29,110.76,113.48,103.57,106.15,2.662,55998500.0,0.0
2004-09-05,105.28,105.49,98.94,100.01,2.508,39523700.0,0.0
2004-09-12,101.01,106.56,99.61,105.33,2.6414,23593600.0,0.0
2004-09-19,106.63,117.49,106.46,117.49,2.9463,48124800.0,0.0
2004-09-26,116.95,124.1,116.77,119.83,3.005,43097600.0,0.0
2004-10-03,119.56,135.02,117.8,132.58,3.3248,83394300.0,0.0
2004-10-10,135.275,139.88,132.24,137.73,3.4539,66561800.0,0.0
2004-10-17,137.01,145.5,133.4,144.11,3.6139,65540600.0,0.0
2004-10-24,143.12,180.17,139.6,172.43,4.3241,157728500.0,0.0
2004-10-31,176.28,199.95,172.55,190.64,4.7808,208665000.0,0.0
2004-11-07,193.5,201.6,168.55,169.35,4.2469,143261600.0,0.0
2004-11-14,170.86,189.8,165.27,182.0,4.5641,129133800.0,0.0
2004-11-21,180.45,188.32,165.73,169.4,4.2481,152548400.0,0.0
2004-11-28,168.6,180.03,161.31,179.39,4.4986,92991900.0,0.0
2004-12-05,180.255,183.0,177.51,180.4,4.524,76644600.0,0.0
2004-12-12,179.13,180.7,168.47,171.65,4.3045,65210200.0,0.0
2004-12-19,172.03,180.69,169.45,180.08,4.5159,86587100.0,0.0
2004-12-26,182.0,188.6,181.87,187.9,4.712,45698800.0,0.0
2005-01-02,189.43,199.88,189.1,192.79,4.8347,52948300.0,0.0
2005-01-09,197.4,203.64,187.72,193.85,4.8613,115657400.0,0.0
2005-01-16,194.5,200.01,190.5,199.97,5.0147,78253100.0,0.0
2005-01-23,200.89,205.3,188.12,188.28,4.7216,85294900.0,0.0
2005-01-30,188.69,194.7,176.29,190.34,4.7732,111538800.0,0.0
2005-02-06,193.69,216.8,190.63,204.36,5.1248,177906600.0,0.0
2005-02-13,205.26,206.4,185.25,187.4,4.6995,147273500.0,0.0
2005-02-20,186.08,199.84,181.0,197.95,4.9641,199355400.0,0.0
2005-02-27,196.5,198.9,182.23,185.87,4.6611,129585100.0,0.0
2005-03-06,186.0,189.87,184.31,185.9,4.6619,77517700.0,0.0
2005-03-13,187.78,189.85,177.15,177.8,4.4588,94031000.0,0.0
2005-03-20,178.33,180.4,172.57,180.04,4.5149,87962900.0,0.0
2005-03-27,179.27,182.17,177.25,179.25,4.4951,43287700.0,0.0
2005-04-03,181.68,184.8,177.64,180.04,4.5149,68726400.0,0.0
2005-04-10,179.95,195.1,179.84,192.05,4.8161,73675000.0,0.0
2005-04-17,193.09,194.8,184.66,185.0,4.6393,73957600.0,0.0
2005-04-24,184.58,224.0,183.49,215.81,5.412,162614400.0,0.0
2005-05-01,217.82,224.74,216.74,220.0,5.517,130328900.0,0.0
2005-05-08,222.05,229.88,220.21,228.02,5.7182,107701100.0,0.0
2005-05-15,228.0,232.23,224.72,229.24,5.7487,79370600.0,0.0
2005-05-22,229.68,241.67,228.57,241.61,6.059,87276900.0,0.0
2005-05-29,243.16,266.05,242.71,266.0,6.6706,188251400.0,0.0
2005-06-05,269.56,292.89,269.37,280.26,7.0282,188181300.0,0.0
2005-06-12,282.39,299.59,278.0,282.5,7.0844,203171400.0,0.0
2005-06-19,279.82,284.19,267.43,280.3,7.0292,133216400.0,0.0
2005-06-26,276.08,298.0,271.73,297.25,7.4543,156760000.0,0.0
2005-07-03,298.9,309.25,289.22,291.25,7.3038,158761100.0,0.0
2005-07-10,292.0,297.6,288.51,296.23,7.4287,67180500.0,0.0
2005-07-17,296.4,306.75,290.93,301.19,7.5531,89508600.0,0.0
2005-07-24,300.0,317.8,296.33,302.4,7.5834,152478700.0,0.0
2005-07-31,302.39,303.29,286.99,287.76,7.2163,81882700.0,0.0
2005-08-07,288.48,299.72,288.1,292.35,7.3314,60058500.0,0.0
2005-08-14,293.6,295.65,280.62,289.721,7.2655,62419100.0,0.0
2005-08-21,289.98,292.77,275.0,280.0,7.0217,73092400.0,0.0
2005-08-28,281.24,285.02,273.35,283.58,7.1115,58660400.0,0.0
2005-09-04,282.24,289.99,282.24,288.45,7.2336,43767200.0,0.0
2005-09-11,289.0,299.28,285.28,299.09,7.5004,45385600.0,0.0
2005-09-18,301.75,315.53,297.91,300.2,7.5282,109906200.0,0.0
2005-09-25,301.0,319.22,300.71,315.36,7.9084,93351800.0,0.0
2005-10-02,319.5,320.95,305.6,316.46,7.936,78980700.0,0.0
2005-10-09,313.63,321.28,308.0,312.99,7.849,82711200.0,0.0
2005-10-16,313.31,314.82,290.685,296.14,7.4264,84930300.0,0.0
2005-10-23,297.5,346.43,294.56,339.9,8.5238,116801400.0,0.0
2005-10-30,343.37,358.95,342.19,358.17,8.982,72438000.0,0.0
2005-11-06,360.24,391.79,359.51,390.43,9.791,114960100.0,0.0
2005-11-13,395.1,397.47,377.43,390.4,9.7902,88208500.0,0.0
2005-11-20,392.12,404.5,390.95,400.21,10.0362,82648600.0,0.0
2005-11-27,399.17,428.75,393.49,428.62,10.7487,69642600.0,0.0
2005-12-04,429.82,431.24,395.56,417.7,10.4748,130647500.0,0.0
2005-12-11,417.0,417.5,399.01,409.2,10.2617,107160500.0,0.0
2005-12-18,414.63,432.5,409.95,430.15,10.787,88152700.0,0.0
2005-12-25,432.2,446.21,420.11,430.93,10.8066,110659300.0,0.0
2006-01-01,431.86,431.86,413.74,414.86,10.4036,56650300.0,0.0
2006-01-08,422.52,470.5,418.22,465.66,11.6775,113831400.0,0.0
2006-01-15,466.15,475.11,460.94,466.25,11.6923,97259000.0,0.0
2006-01-22,464.21,469.9,394.74,399.4601,10.0174,168651000.0,0.0
2006-01-29,407.38,454.23,405.73,433.49,10.8708,156491300.0,0.0
2006-02-05,429.39,439.6,372.57,381.555,9.5684,175557800.0,0.0
2006-02-12,385.25,389.9,353.14,362.61,9.0933,146873900.0,0.0
2006-02-19,344.3,372.14,337.83,368.75,9.2473,165742800.0,0.0
2006-02-26,366.32,381.24,363.86,377.4,9.4642,68327600.0,0.0
2006-03-05,381.2,397.54,338.51,378.18,9.4838,183822300.0,0.0
2006-03-12,380.66,383.4,331.55,337.5,8.4636,128471400.0,0.0
2006-03-19,339.72,352.37,332.62,339.79,8.5211,126733400.0,0.0
2006-03-26,342.01,370.09,337.5,365.8,9.1733,100798900.0,0.0
2006-04-02,367.25,399.0,365.0,390.0,9.7802,172287500.0,0.0
2006-04-09,389.75,414.57,387.93,406.16,10.1854,105640600.0,0.0
2006-04-16,407.61,419.1,400.5,402.16,10.0851,65928100.0,0.0
2006-04-23,403.78,450.72,400.84,437.1,10.9613,115886900.0,0.0
2006-04-30,439.34,444.7,416.3,417.94,10.4809,82801700.0,0.0
2006-05-07,417.85,419.44,388.4,394.3,9.888,84424500.0,0.0
2006-05-14,395.11,411.71,373.55,374.13,9.3822,78774600.0,0.0
2006-05-21,375.93,381.81,360.57,370.02,9.2791,85830400.0,0.0
2006-05-28,367.85,385.88,365.25,381.35,9.5633,77927300.0,0.0
2006-06-04,378.28,387.08,366.78,379.44,9.5154,49873300.0,0.0
2006-06-11,376.18,395.43,374.15,388.2904,9.7373,82410300.0,0.0
2006-06-18,386.85,392.25,378.12,390.7,9.7977,65015600.0,0.0
