date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
1999-11-14,78.0,80.63,76.31,80.44,33.0606,20302668.0,0.0
1999-11-21,80.81,83.5,77.88,82.25,33.8045,23929201.0,0.0
1999-11-28,82.88,82.88,79.06,80.5,33.0852,11291534.0,0.0
1999-12-05,80.31,84.38,79.0,84.25,34.6527,17556534.0,0.06
1999-12-12,84.19,89.44,82.63,89.0,36.6064,20770334.0,0.0
1999-12-19,89.94,98.75,89.63,98.75,40.6167,32716667.0,0.0
1999-12-26,98.5,98.81,94.88,97.13,39.9503,12718601.0,0.0
2000-01-02,98.0,103.1,67.25,68.75,42.4161,14700734.0,0.0
2000-01-09,68.62,69.19,57.0,63.5,39.1771,40541700.0,0.0
2000-01-16,62.0,63.63,60.69,61.94,38.2146,23540800.0,0.0
2000-01-23,61.25,62.44,59.44,60.0,37.0177,24394700.0,0.0
2000-01-30,60.94,60.94,54.88,55.63,34.3216,40401400.0,0.0
2000-02-06,56.5,62.0,55.06,61.12,37.7087,30843900.0,0.0
2000-02-13,61.0,61.44,58.38,60.06,37.0547,21880000.0,0.0
2000-02-20,59.5,60.5,52.81,53.75,33.1617,34723200.0,0.0
2000-02-27,54.13,55.56,52.63,53.0,32.699,28472100.0,0.0
2000-03-05,53.75,58.44,52.94,54.5,33.6244,32928800.0,0.0
2000-03-12,54.38,55.81,51.0,53.5,33.0327,30137500.0,0.04
2000-03-19,52.63,64.56,51.81,63.19,39.0156,43356700.0,0.0
2000-03-26,63.44,65.31,61.13,64.38,39.7503,27093000.0,0.0
2000-04-02,64.38,69.56,63.0,64.5,39.8244,28724700.0,0.0
2000-04-09,65.5,68.63,63.0,64.13,39.596,27095200.0,0.0
2000-04-16,65.13,70.0,56.94,60.25,37.2003,30437200.0,0.0
2000-04-23,56.38,60.0,55.31,58.63,36.2001,25090200.0,0.0
2000-04-30,58.0,61.75,55.5,56.5,34.885,25962600.0,0.0
2000-05-07,56.5,57.94,51.19,53.31,32.9154,28197200.0,0.0
2000-05-14,53.13,55.25,51.69,54.0,33.3414,24599500.0,0.0
2000-05-21,53.5,56.88,51.06,51.56,31.8348,38325300.0,0.0
2000-05-28,51.69,52.0,44.13,46.88,28.9453,42708400.0,0.0
2000-06-04,47.5,54.0,46.63,53.63,33.1129,25789100.0,0.0
2000-06-11,53.5,53.63,47.63,48.19,29.7541,25695300.0,0.0
2000-06-18,47.56,51.25,45.0,49.81,30.7793,42795900.0,0.04
2000-06-25,49.38,50.0,46.94,48.0,29.6608,23082600.0,0.0
2000-07-02,47.63,50.13,47.06,49.94,30.8596,25932700.0,0.0
2000-07-09,49.69,55.88,48.63,55.5,34.2953,20850400.0,0.0
2000-07-16,55.31,58.56,54.75,56.44,34.8762,29322400.0,0.0
2000-07-23,56.88,58.75,55.63,57.13,35.3025,18777500.0,0.0
2000-07-30,56.5,56.69,52.25,52.69,32.5589,19945700.0,0.0
2000-08-06,52.88,54.0,51.0,54.0,33.3684,18992500.0,0.0
2000-08-13,52.63,58.44,52.63,55.94,34.5672,22722300.0,0.0
2000-08-20,56.81,60.0,49.75,51.38,31.7494,55576000.0,0.0
2000-08-27,51.13,52.0,49.88,50.5,31.2056,24734700.0,0.0
2000-09-03,50.63,50.81,48.0,48.56,30.031,32771200.0,0.04
2000-09-10,48.94,53.44,48.63,52.94,32.7397,23679600.0,0.0
2000-09-17,53.0,56.19,52.94,54.25,33.5499,30530700.0,0.0
2000-09-24,54.63,56.0,52.56,55.94,34.595,22800000.0,0.0
2000-10-01,55.94,55.94,52.19,52.94,32.7397,23167900.0,0.0
2000-10-08,53.94,56.81,50.13,51.06,31.5771,29610300.0,0.0
2000-10-15,51.06,51.81,34.69,36.31,22.4552,121285600.0,0.0
2000-10-22,36.94,40.63,34.75,39.44,24.3909,65649100.0,0.0
2000-10-29,40.63,41.63,38.25,39.38,24.3538,37043400.0,0.0
2000-11-05,39.75,44.31,39.75,41.25,25.5103,36956100.0,0.0
2000-11-12,41.69,42.56,36.19,36.25,22.4181,35803900.0,0.0
2000-11-19,35.5,40.75,35.44,38.81,24.0013,50448900.0,0.0
2000-11-26,38.81,39.75,36.69,37.5,23.1911,22433000.0,0.0
2000-12-03,39.44,40.5,38.25,38.94,24.106,35620300.0,0.04
2000-12-10,39.0,47.44,38.75,47.25,29.2504,60890600.0,0.0
2000-12-17,45.94,47.06,41.38,41.94,25.9632,39210100.0,0.0
2000-12-24,43.31,44.69,40.0,41.63,25.7713,43313100.0,0.0
2000-12-31,41.25,46.94,40.0,45.69,28.2847,26641400.0,0.0
2001-01-07,45.69,52.5,44.63,49.75,30.798,48455400.0,0.0
2001-01-14,49.5,50.25,44.94,49.13,30.4142,37103200.0,0.0
