date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
1999-11-14,86.31,86.62,80.31,85.0,27.3478,14525068.0,0.0
1999-11-21,84.06,86.44,81.63,83.0,26.7043,16909467.0,0.0
1999-11-28,82.5,82.56,78.75,79.06,25.4366,8859134.0,0.0
1999-12-05,78.81,83.37,76.0,82.0,26.3825,17664801.0,0.0
1999-12-12,82.0,82.0,76.06,78.94,25.398,16563334.0,0.0
1999-12-19,78.12,79.25,72.06,72.75,23.4065,16346534.0,0.0
1999-12-26,73.38,77.94,72.12,77.5,24.9347,14520934.0,0.0
2000-01-02,77.5,79.19,76.31,77.69,24.9959,7627867.0,0.0
2000-01-09,74.75,75.38,69.0,72.75,23.5419,31598801.0,0.41
2000-01-16,72.75,75.75,68.25,73.88,23.9075,24701001.0,0.0
2000-01-23,73.94,76.0,70.25,72.94,23.6033,22641467.0,0.0
2000-01-30,74.37,81.5,72.19,76.69,24.8168,25394268.0,0.0
2000-02-06,76.81,84.87,76.81,81.75,26.4543,25501801.0,0.0
2000-02-13,82.19,86.37,81.38,82.62,26.7358,23169534.0,0.0
2000-02-20,82.25,83.44,74.56,74.75,24.1891,22358267.0,0.0
2000-02-27,76.0,79.19,74.62,75.87,24.5515,14243800.0,0.0
2000-03-05,76.75,82.38,76.38,81.12,26.2504,17766267.0,0.0
2000-03-12,82.94,84.38,77.75,78.69,25.464,16531201.0,0.0
2000-03-19,77.62,92.25,77.13,91.0,29.4475,30159068.0,0.0
2000-03-26,90.0,100.75,84.5,96.19,31.127,29964068.0,0.0
2000-04-02,96.0,96.87,85.94,87.19,28.2146,24043401.0,0.0
2000-04-09,87.94,93.0,83.0,86.37,28.1039,25484267.0,0.48
2000-04-16,85.5,90.94,75.75,78.87,25.6635,30053868.0,0.0
2000-04-23,77.5,81.0,74.94,77.31,25.1559,19426534.0,0.0
2000-04-30,76.0,78.75,71.75,72.12,23.4671,25014534.0,0.0
2000-05-07,72.5,77.0,70.5,72.19,23.4899,31232468.0,0.0
2000-05-14,71.62,73.19,68.13,71.62,23.3044,25711001.0,0.0
2000-05-21,72.75,76.69,72.06,72.5,23.5908,19499734.0,0.0
2000-05-28,73.25,74.56,69.38,70.5,22.94,21221134.0,0.0
2000-06-04,71.62,82.38,71.13,80.69,26.2557,17885201.0,0.0
2000-06-11,80.5,81.12,71.37,73.31,23.8543,20405535.0,0.0
2000-06-18,49.38,50.38,44.12,45.44,22.1786,41530600.0,0.0
2000-06-25,45.38,48.56,45.12,46.88,22.8814,24365000.0,0.0
2000-07-02,46.56,48.94,45.62,46.06,22.4812,24914300.0,0.0
2000-07-09,45.88,50.69,45.88,50.06,24.5979,17572600.0,0.32
2000-07-16,50.19,52.75,49.69,52.5,25.7969,21687700.0,0.0
2000-07-23,53.75,53.75,50.12,52.73,25.9099,24217700.0,0.0
2000-07-30,52.44,52.62,48.06,48.38,23.7724,17020600.0,0.0
2000-08-06,49.0,53.38,48.25,52.44,25.7674,35361100.0,0.0
2000-08-13,53.06,54.12,51.31,52.0,25.5512,26159500.0,0.0
2000-08-20,52.75,53.38,50.06,50.75,24.937,25720400.0,0.0
2000-08-27,51.0,54.88,50.62,52.06,25.5807,27082100.0,0.0
2000-09-03,52.0,56.81,51.62,56.31,27.669,34578100.0,0.0
2000-09-10,56.44,58.31,55.75,57.81,28.406,19665400.0,0.0
2000-09-17,57.5,58.38,48.44,49.12,24.136,90303000.0,0.0
2000-09-24,49.12,49.12,44.56,47.25,23.7375,72847800.0,1.0
2000-10-01,47.5,48.69,45.12,46.19,23.205,45650000.0,0.0
2000-10-08,46.62,48.12,41.75,42.88,21.6934,45834300.0,0.32
2000-10-15,43.12,43.25,37.44,39.69,20.0796,64302500.0,0.0
2000-10-22,40.19,40.69,32.38,38.38,19.4168,68906200.0,0.0
2000-10-29,38.19,42.94,37.94,42.69,21.5973,45358300.0,0.0
2000-11-05,42.81,46.5,42.81,44.44,22.4826,42176700.0,0.0
2000-11-12,44.88,45.69,42.56,42.81,21.658,25196400.0,0.0
2000-11-19,41.88,43.19,39.12,39.62,20.0441,36147900.0,0.0
2000-11-26,39.75,39.94,37.0,39.12,19.7912,24059000.0,0.0
2000-12-03,39.44,40.19,35.44,37.31,18.8755,58407800.0,0.0
2000-12-10,37.38,43.25,36.88,40.0,20.2364,58476700.0,0.0
2000-12-17,40.25,44.69,40.06,43.94,22.2297,54797900.0,0.0
2000-12-24,44.0,46.38,43.25,45.62,23.0796,49097300.0,0.0
2000-12-31,45.62,47.56,44.31,45.44,22.9885,28338800.0,0.0
2001-01-07,44.62,54.0,43.19,48.94,25.2483,71731900.0,1.0
2001-01-14,49.0,54.25,47.88,53.31,27.5028,53104900.0,0.0
2001-01-21,53.5,54.69,49.81,50.56,26.0841,45180500.0,0.0
2001-01-28,50.56,54.5,50.06,54.19,27.9568,45007500.0,0.0
2001-02-04,54.19,57.33,53.51,54.64,28.189,48327300.0,0.0
2001-02-11,54.51,54.95,51.05,51.95,26.8012,32044000.0,0.0
2001-02-18,52.47,53.7,50.25,51.99,26.8218,34189300.0,0.0
2001-02-25,51.99,52.6,45.39,47.05,24.2733,41026500.0,0.0
2001-03-04,48.0,49.78,44.78,45.8,23.6284,49149900.0,0.0
2001-03-11,45.9,51.19,45.3,48.95,25.2535,33571300.0,0.0
2001-03-18,47.5,47.85,43.39,44.58,22.999,51121000.0,0.0
2001-03-25,44.4,45.46,37.58,41.71,21.5184,58413400.0,0.0
2001-04-01,42.15,45.0,41.1,44.9,23.1641,43040400.0,0.0
2001-04-08,44.5,45.4,38.54,39.7,20.6564,47861900.0,0.34
2001-04-15,40.87,45.02,39.22,44.6,23.2059,31987400.0,0.0
2001-04-22,45.59,49.26,44.01,46.98,24.4442,46789000.0,0.0
2001-04-29,47.38,49.22,45.23,49.0,25.4953,32778700.0,0.0
2001-05-06,49.54,49.74,46.74,49.74,25.8803,38259100.0,0.0
2001-05-13,49.09,49.09,45.56,45.65,23.7522,36896400.0,0.0
2001-05-20,46.96,47.97,45.56,47.34,24.6315,34013900.0,0.0
2001-05-27,48.66,49.9,46.89,47.87,24.9073,31220700.0,0.0
2001-06-03,48.61,49.05,47.03,48.06,25.0062,22676200.0,0.0
2001-06-10,48.66,49.06,43.05,43.45,22.6075,43045700.0,0.0
2001-06-17,44.0,44.27,41.77,44.13,22.9613,44576500.0,0.0
2001-06-24,44.13,46.42,43.1,45.12,23.4764,34947800.0,0.0
2001-07-01,45.56,45.56,43.25,43.71,22.7428,29143100.0,0.0
2001-07-08,45.12,45.56,43.34,44.08,23.1078,17602500.0,0.34
2001-07-15,43.97,43.97,40.31,42.14,22.0908,34495100.0,0.0
2001-07-22,42.57,43.82,40.21,42.98,22.5312,36163500.0,0.0
2001-07-29,43.28,43.8,41.29,43.78,22.9505,28929900.0,0.0
2001-08-05,43.68,43.82,42.58,42.9,22.4892,34358600.0,0.0
2001-08-12,43.15,43.15,40.73,41.84,21.9335,25422600.0,0.0
2001-08-19,41.97,42.17,40.62,41.08,21.5351,24949800.0,0.0
2001-08-26,40.9,41.26,39.46,40.53,21.2468,34777300.0,0.0
2001-09-02,41.1,41.1,38.73,39.02,20.4552,30410500.0,0.0
2001-09-09,40.28,40.28,35.61,36.64,19.2076,36874700.0,0.0
2001-09-16,37.0,37.0,35.54,36.9,19.3439,9263700.0,0.0
2001-09-23,35.47,35.55,29.04,30.82,16.1566,79126100.0,0.0
2001-09-30,32.38,34.67,31.29,33.82,17.7293,49803200.0,0.0
2001-10-07,34.29,35.28,33.06,33.41,17.6861,55613100.0,0.34
2001-10-14,33.1,34.45,32.01,32.89,17.4108,42980500.0,0.0
2001-10-21,32.1,36.25,31.85,33.87,17.9296,45924800.0,0.0
2001-10-28,33.88,38.08,33.88,37.55,19.8777,37729000.0,0.0
2001-11-04,37.1,37.38,34.55,36.04,19.0783,37594800.0,0.0
2001-11-11,36.5,39.64,36.27,39.05,20.6717,36688200.0,0.0
2001-11-18,38.76,40.0,37.25,39.41,20.8623,29874500.0,0.0
2001-11-25,39.6,40.24,38.45,39.39,20.8517,18265100.0,0.0
2001-12-02,39.39,40.3,36.5,37.72,19.9677,51735700.0,0.0
2001-12-09,37.08,40.95,36.13,39.77,21.0529,45346700.0,0.0
2001-12-16,39.77,39.77,35.4,36.04,19.0783,42964100.0,0.0
2001-12-23,36.1,38.95,35.02,35.75,18.9248,64313600.0,0.0
