date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
2006-06-04,44.97,48.7,42.85,46.99,4.3267,17949700.0,0.0
2006-06-11,47.05,50.63,45.5,47.91,4.4114,15905700.0,0.0
2006-06-18,47.94,48.25,44.44,45.02,4.1453,7601300.0,0.0
2006-06-25,45.05,47.93,43.47,46.95,4.323,7801400.0,0.0
2006-07-02,47.0,48.09,46.43,48.0,4.4197,6758100.0,0.0
2006-07-09,47.9,48.0,45.75,46.12,4.2466,3677200.0,0.0
2006-07-16,46.2,46.57,43.9,43.95,4.0468,4701700.0,0.0
2006-07-23,44.1,45.78,43.67,45.28,4.1692,5212000.0,0.0
2006-07-30,45.45,47.85,44.99,46.3,4.2631,3260300.0,0.0
2006-08-06,46.3,51.5,44.7,50.05,4.6084,10128300.0,0.0
2006-08-13,50.25,54.5,50.25,53.68,4.9427,5383700.0,0.0
2006-08-20,53.75,55.43,52.46,53.45,4.9215,4977000.0,0.0
2006-08-27,53.3,55.8525,52.8,55.0,5.0642,4612300.0,0.0
2006-09-03,54.85,57.5,54.766,56.55,5.2069,4034200.0,0.0
2006-09-10,56.9,61.25,56.2501,59.75,5.5016,6203700.0,0.0
2006-09-17,59.75,65.2,59.6,64.97,5.9822,7873500.0,0.0
2006-09-24,65.74,69.6,64.3,65.93,6.0706,11333200.0,0.0
2006-10-01,65.25,70.45,62.2,70.35,6.4776,12873000.0,0.0
2006-10-08,70.35,75.85,68.4,75.15,6.9281,10897100.0,0.09
2006-10-15,72.25,73.25,68.28,70.09,6.4616,12576900.0,0.0
2006-10-22,70.0,72.9,69.27,71.22,6.5658,4590700.0,0.0
2006-10-29,71.35,74.0,69.0001,72.64,6.6967,7514300.0,0.0
2006-11-05,72.62,89.75,71.75,89.51,8.252,29969600.0,0.0
2006-11-12,90.0,97.14,87.76,89.2,8.2234,32430800.0,0.0
2006-11-19,93.94,99.65,92.06,94.79,8.7387,27345900.0,0.0
2006-11-26,93.98,105.85,93.72,105.48,9.7243,14664600.0,0.0
2006-12-03,106.0,108.6,95.5,101.17,9.3269,26061400.0,0.0
2006-12-10,101.0,102.25,98.5,100.1,9.2283,10935000.0,0.0
2006-12-17,100.1,102.24,94.27,96.19,8.8678,13429800.0,0.0
2006-12-24,96.0,99.45,90.5,96.35,8.8826,13050200.0,0.0
2006-12-31,96.5,99.79,94.38,98.49,9.0798,6348700.0,0.0
2007-01-07,99.55,102.2,95.3,101.06,9.3168,8294500.0,0.0
2007-01-14,99.01,108.03,99.0,105.25,9.7114,14396100.0,0.09
2007-01-21,105.3,110.22,101.8,105.03,9.6911,13674700.0,0.0
2007-01-28,105.99,113.08,104.5,108.52,10.0131,11337600.0,0.0
2007-02-04,109.0,112.98,108.7,110.96,10.2382,6455600.0,0.0
2007-02-11,110.5,118.07,99.63,103.6,9.5591,36126100.0,0.0
2007-02-18,102.0,109.12,98.61,108.32,9.9947,25986600.0,0.0
2007-02-25,108.32,109.25,103.72,104.57,9.6486,9265000.0,0.0
2007-03-04,104.82,107.9,99.99,103.06,9.5093,15449500.0,0.0
2007-03-11,101.11,104.71,99.28,102.36,9.4447,21121900.0,0.0
2007-03-18,102.01,106.2,101.39,105.27,9.7132,13784100.0,0.0
2007-03-25,105.85,112.32,105.52,109.86,10.1368,9699000.0,0.0
2007-04-01,108.7,109.25,105.75,106.24,9.8027,6196600.0,0.0
2007-04-08,107.1,109.4,105.93,108.01,9.98,5783300.0,0.15
2007-04-15,108.4,111.4,107.2,109.4,10.1084,5906300.0,0.0
2007-04-22,110.0,110.88,108.2,110.1,10.1731,4781800.0,0.0
2007-04-29,110.0,114.66,107.64,114.1,10.5427,8851700.0,0.0
2007-05-06,114.25,135.95,111.01,134.66,12.4424,36317900.0,0.0
2007-05-13,134.3,143.24,132.9,138.83,12.8277,22830100.0,0.0
2007-05-20,138.84,139.59,133.53,138.05,12.7557,12332200.0,0.0
2007-05-27,137.68,143.56,136.85,139.07,12.8499,13136100.0,0.0
2007-06-03,142.09,153.31,141.02,151.1,13.9615,19046200.0,0.0
2007-06-10,149.75,151.72,135.18,143.58,13.2666,20428000.0,0.0
2007-06-17,144.16,158.24,140.07,157.65,14.5667,22858400.0,0.0
2007-06-24,159.57,169.4,158.18,168.43,15.5627,27834700.0,0.0
2007-07-01,169.0,169.0,157.8,165.87,15.3401,16057700.0,0.15
2007-07-08,165.5,167.49,159.55,161.9,14.9729,7773600.0,0.0
2007-07-15,162.0,174.6,155.58,169.21,15.6489,19617200.0,0.0
2007-07-22,168.0,172.82,162.65,165.28,15.2855,14479600.0,0.0
2007-07-29,165.5,169.0,152.0,154.03,14.2451,14737100.0,0.0
2007-08-05,156.46,170.52,128.17,131.26,12.1392,32400100.0,0.0
2007-08-12,132.11,150.0,123.46,138.4,12.7996,28613400.0,0.0
2007-08-19,142.56,143.13,120.0,137.0,12.6701,22986300.0,0.0
2007-08-26,139.57,146.0,136.308,139.83,12.9318,12697100.0,0.0
2007-09-02,138.43,140.91,130.01,136.99,12.6692,14220100.0,0.0
2007-09-09,138.27,139.9,129.54,130.21,12.0421,7627800.0,0.0
2007-09-16,130.72,142.36,126.63,137.85,12.7487,11687900.0,0.0
2007-09-23,137.44,152.0,135.0,146.56,13.5542,15238500.0,0.0
2007-09-30,147.5,152.23,138.85,147.97,13.6846,20575800.0,0.0
2007-10-07,147.73,164.87,147.73,162.46,15.0247,16177100.0,0.0
2007-10-14,163.0,169.32,158.21,163.21,15.094,13463700.0,0.0
2007-10-21,163.21,163.65,150.36,151.6,14.0339,10997900.0,0.15
2007-10-28,149.99,159.68,143.15,157.03,14.5366,24587300.0,0.0
2007-11-04,159.1,198.55,153.68,190.04,17.5924,39514600.0,0.0
2007-11-11,185.61,203.0,182.31,193.0,17.8664,26085500.0,0.0
2007-11-18,190.83,196.42,179.5,184.87,17.1138,14121700.0,0.0
2007-11-25,182.87,187.31,175.58,181.1,16.7648,7879700.0,0.0
2007-12-02,183.75,206.43,179.5,200.65,18.5746,17954800.0,0.0
2007-12-09,199.25,211.75,194.51,209.6,19.4031,15795500.0,0.0
2007-12-16,211.0,227.18,210.99,216.56,20.0474,24823300.0,0.0
2007-12-23,214.235,217.0,197.5,212.35,19.6577,21489000.0,0.0
2007-12-30,212.0,215.96,207.0,210.0,19.4401,5307000.0,0.0
