date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
1999-11-14,80.44,80.5,74.63,75.94,30.573,16909600.0,0.0
1999-11-21,75.25,79.69,74.38,79.38,31.9579,21530700.0,0.0
1999-11-28,79.19,80.06,77.44,79.88,32.1592,12311700.0,0.0
1999-12-05,79.69,80.31,74.5,77.38,31.271,20620600.0,0.29
1999-12-12,77.75,77.75,70.88,71.44,28.8705,25239100.0,0.0
1999-12-19,70.25,71.94,66.56,66.56,26.8984,37800000.0,0.0
1999-12-26,66.63,70.25,66.06,69.75,28.1875,19312900.0,0.0
2000-01-02,69.44,70.75,66.94,67.19,27.153,16111000.0,0.0
2000-01-09,68.63,75.25,64.75,74.94,30.2849,36244000.0,0.0
2000-01-16,74.75,76.13,71.38,74.13,29.9576,26634200.0,0.0
2000-01-23,73.13,74.5,70.56,72.44,29.2746,22976500.0,0.0
2000-01-30,73.0,78.44,69.06,76.38,30.8669,33562900.0,0.0
2000-02-06,75.69,79.0,74.56,75.06,30.3334,25811500.0,0.0
2000-02-13,74.25,75.88,64.31,65.25,26.369,31269600.0,0.0
2000-02-20,65.5,67.19,61.56,62.0,25.0556,34001600.0,0.0
2000-02-27,62.5,66.0,59.19,60.19,24.3241,33696000.0,0.0
2000-03-05,60.19,63.13,57.06,57.5,23.3493,39411200.0,0.29
2000-03-12,57.44,61.88,52.0,59.56,24.1859,54198100.0,0.0
2000-03-19,56.38,65.69,55.38,62.75,25.4812,48840000.0,0.0
2000-03-26,61.63,64.94,60.31,61.75,25.0752,28060000.0,0.0
2000-04-02,60.88,65.94,59.75,62.13,25.2295,32183900.0,0.0
2000-04-09,62.38,69.75,62.38,65.5,26.5979,35473000.0,0.0
2000-04-16,65.06,68.25,62.56,63.56,25.8102,27284100.0,0.0
2000-04-23,63.75,70.25,61.88,69.75,28.3238,25580500.0,0.0
2000-04-30,69.88,72.81,67.56,69.5,28.2222,32438600.0,0.0
2000-05-07,69.5,70.06,66.75,69.25,28.1207,20716800.0,0.0
2000-05-14,69.94,70.5,66.75,68.13,27.6659,19274400.0,0.0
2000-05-21,68.25,72.94,67.5,72.44,29.4161,21575100.0,0.0
