date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
1999-11-14,105.9,108.8,105.1,107.0,28.7417,7950800.0,0.0
1999-11-21,104.9,110.7,104.9,110.5,29.6819,11408200.0,0.0
1999-11-28,109.9,113.3,109.5,113.0,30.3534,7525700.0,0.0
1999-12-05,111.9,115.6,108.0,113.8,30.5683,10730700.0,0.0
1999-12-12,113.1,114.4,108.4,110.4,29.655,9426700.0,0.0
1999-12-19,110.4,114.8,106.0,106.25,28.5403,11816600.0,0.0
1999-12-26,106.5,109.6,103.5,109.5,29.4133,8160600.0,0.0
2000-01-02,109.5,111.7,108.6,109.6,29.4401,4291000.0,0.0
2000-01-09,107.8,117.0,103.0,116.5,31.2936,15000200.0,0.0
2000-01-16,115.8,118.4,114.4,117.0,31.4279,13852500.0,0.0
2000-01-23,116.9,118.0,99.5,102.7,27.6632,22310400.0,0.32
2000-01-30,96.0,108.88,94.81,100.3,27.0167,37234000.0,0.0
2000-02-06,100.3,101.1,94.0,94.75,25.5218,13195300.0,0.0
2000-02-13,94.0,95.88,90.06,93.75,25.2524,15055400.0,0.0
2000-02-20,93.69,96.25,91.0,93.63,25.2201,13382400.0,0.0
2000-02-27,92.31,93.44,85.13,85.13,22.9306,12492100.0,0.0
2000-03-05,85.81,90.0,85.0,88.44,23.8221,13182500.0,0.0
2000-03-12,88.38,88.44,52.75,53.75,14.4781,149159400.0,0.0
2000-03-19,53.75,60.5,53.25,57.63,15.5232,65541900.0,0.0
2000-03-26,58.38,59.03,55.12,56.44,15.2026,35106300.0,0.0
2000-04-02,56.25,60.13,55.13,56.75,15.2861,33870100.0,0.0
2000-04-09,56.75,64.0,56.75,63.44,17.0882,33413600.0,0.0
2000-04-16,63.94,72.75,62.0,63.0,16.9696,35662800.0,0.0
2000-04-23,62.88,69.13,62.75,68.94,18.6596,22752000.0,0.32
2000-04-30,68.94,71.0,59.13,59.75,16.1722,39903700.0,0.0
2000-05-07,59.81,61.69,58.75,60.88,16.478,15741500.0,0.0
2000-05-14,60.13,65.56,60.06,64.13,17.3577,16586000.0,0.0
2000-05-21,63.88,65.31,63.31,65.06,17.6094,14065700.0,0.0
2000-05-28,65.19,66.44,63.75,66.25,17.9315,15688000.0,0.0
2000-06-04,66.31,66.88,63.5,64.0,17.3225,13371200.0,0.0
2000-06-11,64.0,64.0,55.81,57.0,15.4279,40692600.0,0.0
2000-06-18,57.0,57.5,55.5,55.5,15.0219,24849400.0,0.0
2000-06-25,56.19,56.5,54.06,54.94,14.8703,19258600.0,0.0
2000-07-02,55.0,57.35,53.25,56.75,15.3602,28401400.0,0.0
2000-07-09,56.75,56.81,54.19,54.88,14.854,14988100.0,0.0
2000-07-16,55.06,56.25,54.19,56.0,15.1572,21131700.0,0.0
2000-07-23,56.25,59.56,56.0,59.13,16.0991,21454800.0,0.35
2000-07-30,59.19,60.81,59.0,59.19,16.1154,19024500.0,0.0
2000-08-06,58.75,60.0,55.38,57.38,15.6226,23341500.0,0.0
2000-08-13,57.31,58.5,56.0,58.25,15.8595,12746800.0,0.0
2000-08-20,58.31,63.19,58.06,63.0,17.1528,21859400.0,0.0
2000-08-27,63.19,64.5,61.38,62.75,17.0847,14518700.0,0.0
2000-09-03,62.75,63.25,61.0,61.38,16.7117,10596400.0,0.0
2000-09-10,61.44,64.38,61.13,63.44,17.2726,14680800.0,0.0
2000-09-17,63.31,63.75,60.06,62.5,17.0166,17741800.0,0.0
2000-09-24,61.94,64.38,60.5,63.88,17.3924,18547900.0,0.0
2000-10-01,64.06,67.81,60.13,67.0,18.2418,35458800.0,0.0
2000-10-08,67.06,74.88,66.56,73.94,20.1314,24209400.0,0.0
2000-10-15,73.0,74.44,72.06,72.63,19.7747,16529100.0,0.0
2000-10-22,72.38,74.94,71.06,72.88,19.9357,16467500.0,0.35
2000-10-29,72.69,76.94,69.56,76.94,21.0463,18105400.0,0.0
2000-11-05,76.0,76.88,67.13,68.25,18.6692,32472600.0,0.0
2000-11-12,68.25,72.5,67.5,71.63,19.5938,17300700.0,0.0
2000-11-19,71.5,75.75,71.25,75.75,20.7208,16210000.0,0.0
2000-11-26,74.75,75.94,72.75,73.63,20.1409,10538700.0,0.0
2000-12-03,72.88,75.94,72.5,73.94,20.2257,14488700.0,0.0
2000-12-10,73.75,76.19,70.88,71.25,19.4899,15187100.0,0.0
2000-12-17,70.75,74.75,68.88,71.38,19.5254,19177000.0,0.0
2000-12-24,72.63,74.88,71.81,73.75,20.1737,15657300.0,0.0
2000-12-31,73.69,79.31,72.75,78.44,21.4566,14905200.0,0.0
2001-01-07,78.13,79.19,71.31,74.94,20.4992,17461600.0,0.0
2001-01-14,74.31,77.31,70.06,70.31,19.2327,17867400.0,0.0
2001-01-21,70.94,72.5,69.75,69.94,19.2269,12666800.0,0.35
2001-01-28,69.88,71.5,68.13,69.25,19.0372,13981700.0,0.0
2001-02-04,69.0,74.55,66.75,73.76,20.2771,21863500.0,0.0
2001-02-11,73.99,75.9,72.21,74.99,20.6152,14874000.0,0.0
2001-02-18,74.99,75.75,73.07,74.84,20.574,14937500.0,0.0
2001-02-25,75.45,77.15,73.7,75.03,20.6262,13343300.0,0.0
2001-03-04,72.25,72.26,67.76,69.65,19.1472,21227900.0,0.0
2001-03-11,70.9,71.4,68.01,69.14,19.007,12465800.0,0.0
2001-03-18,68.75,70.6,63.88,64.7,17.7864,19291300.0,0.0
2001-03-25,64.9,68.2,59.86,60.2,16.5493,23432200.0,0.0
2001-04-01,61.0,63.05,59.25,62.6,17.2091,18017300.0,0.0
2001-04-08,63.0,63.65,58.9,61.68,16.9562,16510300.0,0.0
2001-04-15,62.0,62.0,57.46,58.8,16.1645,14642100.0,0.0
2001-04-22,59.2,60.0,55.96,58.0,16.0417,22920000.0,0.35
2001-04-29,58.0,59.83,56.2,59.83,16.5479,18550200.0,0.0
2001-05-06,60.05,64.85,59.25,64.27,17.7759,26048900.0,0.0
2001-05-13,64.4,66.5,63.54,65.5,18.1161,12462100.0,0.0
2001-05-20,65.99,68.3,65.3,67.48,18.6637,12760200.0,0.0
2001-05-27,65.0,66.15,63.26,63.5,17.5629,17927600.0,0.0
2001-06-03,63.8,64.97,63.25,63.51,17.5657,9194400.0,0.0
2001-06-10,63.5,66.3,63.04,64.28,17.7787,13683400.0,0.0
2001-06-17,64.5,65.98,62.47,62.6,17.314,16283800.0,0.0
2001-06-24,62.4,63.49,61.68,63.28,17.5021,14910100.0,0.0
2001-07-01,63.25,65.35,62.7,63.8,17.6459,13749100.0,0.0
2001-07-08,64.0,65.05,63.75,65.0,17.9778,8273200.0,0.0
2001-07-15,65.0,69.0,65.0,68.14,18.8463,19561400.0,0.0
2001-07-22,68.14,69.99,67.6,68.09,18.9358,14512500.0,0.38
2001-07-29,68.15,71.42,67.2,70.47,19.5977,13958000.0,0.0
2001-08-05,70.05,71.95,69.52,70.22,19.5282,12019700.0,0.0
2001-08-12,70.4,72.53,69.36,71.87,19.9871,15309400.0,0.0
2001-08-19,71.9,74.75,71.73,74.75,20.788,17359200.0,0.0
2001-08-26,74.9,77.28,74.27,77.0,21.4137,21888500.0,0.0
2001-09-02,77.0,77.04,73.65,74.15,20.6211,15239500.0,0.0
2001-09-09,73.68,76.64,73.4,74.35,20.6768,15188400.0,0.0
2001-09-16,73.45,74.4,73.3,74.2,20.635,3716800.0,0.0
2001-09-23,73.6,75.02,67.0,67.0,18.6327,31063800.0,0.0
2001-09-30,69.0,73.15,68.89,72.79,20.2429,21174600.0,0.0
2001-10-07,72.5,73.45,71.15,72.69,20.2151,17569700.0,0.0
2001-10-14,73.1,74.14,71.5,71.94,20.0065,13743100.0,0.0
2001-10-21,71.5,72.2,69.73,71.75,20.0623,17613000.0,0.38
2001-10-28,71.75,73.54,70.51,73.35,20.5097,11420800.0,0.0
2001-11-04,73.01,76.6,71.3,76.0,21.2507,19612800.0,0.0
2001-11-11,76.09,78.2,75.94,77.31,21.617,14232700.0,0.0
2001-11-18,76.65,78.85,76.47,78.74,22.0168,13463900.0,0.0
2001-11-25,78.85,79.0,77.71,78.45,21.9357,8302400.0,0.0
2001-12-02,78.05,78.39,75.24,77.46,21.6589,14641200.0,0.0
2001-12-09,77.45,77.71,74.76,75.43,21.0913,13119000.0,0.0
2001-12-16,75.47,81.1,75.26,79.9,22.3412,25336200.0,0.0
2001-12-23,80.1,81.72,79.8,80.64,22.5481,18091900.0,0.0
2001-12-30,80.64,81.19,79.06,79.51,22.2321,6853800.0,0.0
2002-01-06,78.9,80.0,78.02,78.45,21.9357,10800800.0,0.0
2002-01-13,78.49,78.49,76.38,77.21,21.589,14296000.0,0.0
2002-01-20,77.65,80.0,77.25,79.81,22.4227,13717000.0,0.38
2002-01-27,79.8,79.84,77.2,79.14,22.2345,10908900.0,0.0
2002-02-03,79.43,83.3,77.26,82.57,23.1981,21535600.0,0.0
2002-02-10,82.57,84.22,80.75,82.09,23.0633,17070400.0,0.0
2002-02-17,82.09,85.0,81.27,84.99,23.878,15872800.0,0.0
2002-02-24,84.1,85.98,83.1,85.6,24.0494,13712700.0,0.0
2002-03-03,85.45,87.85,84.5,87.55,24.5973,19204500.0,0.0
2002-03-10,87.0,87.35,83.2,83.92,23.5774,18164800.0,0.0
2002-03-17,83.85,87.1,82.62,87.07,24.4624,15717000.0,0.0
2002-03-24,87.5,90.73,87.17,90.1,25.3137,20678400.0,0.0
2002-03-31,89.75,90.38,88.85,90.09,25.3109,11096200.0,0.0
2002-04-07,89.99,90.61,88.4,89.8,25.2294,16980800.0,0.0
2002-04-14,89.4,92.74,89.25,91.93,25.8278,16330000.0,0.0
2002-04-21,91.6,91.86,87.85,88.87,25.0734,16050000.0,0.38
2002-04-28,89.0,90.72,88.5,89.8,25.3358,13922100.0,0.0
2002-05-05,90.05,93.47,89.4,91.95,25.9424,19371300.0,0.0
2002-05-12,92.48,93.48,90.8,92.4,26.0693,15641400.0,0.0
2002-05-19,91.67,93.63,91.67,93.62,26.4135,13305400.0,0.0
2002-05-26,93.2,93.73,89.7,90.26,25.4656,12480000.0,0.0
2002-06-02,90.6,90.6,86.4,89.55,25.2653,15488800.0,0.0
2002-06-09,89.11,91.07,88.07,89.34,25.206,16035600.0,0.0
2002-06-16,88.95,93.03,88.15,91.55,25.8295,22671100.0,0.0
2002-06-23,91.55,94.75,91.55,93.85,26.4784,20781500.0,0.0
2002-06-30,93.75,94.41,87.94,89.3,25.1947,29939500.0,0.0
2002-07-07,89.34,90.95,87.02,89.88,25.3584,13715600.0,0.0
2002-07-14,89.88,90.49,82.1,83.63,23.595,24524100.0,0.0
2002-07-21,82.6,83.2,74.08,74.46,21.1154,31233800.0,0.41
2002-07-28,75.0,85.02,75.0,84.2,23.8775,34568800.0,0.0
2002-08-04,84.62,89.9,84.46,89.84,25.4769,26703000.0,0.0
2002-08-11,89.4,91.49,86.5,91.14,25.8455,29187700.0,0.0
2002-08-18,90.0,92.9,89.06,90.99,25.803,21462900.0,0.0
2002-08-25,90.6,91.52,89.75,90.25,25.5931,15666200.0,0.0
2002-09-01,90.25,90.91,87.0,88.65,25.1394,16330400.0,0.0
2002-09-08,88.66,90.96,86.36,89.95,25.5081,18179300.0,0.0
2002-09-15,89.25,92.0,89.0,92.0,26.0894,14214600.0,0.0
2002-09-22,92.0,93.5,90.25,91.09,25.8313,20971700.0,0.0
2002-09-29,90.02,91.1,87.99,88.13,24.9919,21461200.0,0.0
2002-10-06,88.38,92.35,87.2,88.52,25.1025,25951000.0,0.0
2002-10-13,88.52,90.83,87.5,90.24,25.5903,24921100.0,0.0
2002-10-20,90.0,92.15,89.2,91.75,26.1364,21204400.0,0.41
2002-10-27,90.95,92.19,87.53,88.7,25.2675,19339900.0,0.0
2002-11-03,88.7,89.89,84.75,87.99,25.0653,28203800.0,0.0
2002-11-10,88.0,89.06,86.25,87.69,24.9798,18719000.0,0.0
2002-11-17,86.6,87.7,85.13,87.28,24.863,18330600.0,0.0
2002-11-24,87.3,88.29,85.45,86.58,24.6636,18236300.0,0.0
2002-12-01,86.07,86.24,83.6,84.53,24.0796,14166200.0,0.0
2002-12-08,83.63,88.0,82.0,85.95,24.4842,25154500.0,0.0
2002-12-15,86.0,88.31,85.55,87.41,24.9001,21398500.0,0.0
2002-12-22,87.42,88.05,85.36,87.68,24.977,20191700.0,0.0
2002-12-29,87.9,88.24,86.21,86.55,24.6551,7280000.0,0.0
2003-01-05,86.15,87.93,85.11,86.85,24.7405,12218300.0,0.0
2003-01-12,87.1,88.03,84.6,86.13,24.5354,19142500.0,0.0
2003-01-19,86.13,87.24,85.0,87.04,24.7947,15391100.0,0.0
2003-01-26,87.08,87.47,84.14,84.22,24.1069,15212400.0,0.41
2003-02-02,84.1,85.98,82.37,85.57,24.4933,22825600.0,0.0
2003-02-09,85.56,86.24,83.44,83.98,24.0382,17480500.0,0.0
2003-02-16,84.35,85.15,81.55,83.7,23.958,17027400.0,0.0
2003-02-23,83.9,85.0,83.06,84.24,24.1126,11299800.0,0.0
