date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
1999-11-14,35.25,39.25,35.19,36.5,13.69,13523400.0,0.0
1999-11-21,37.0,38.0,36.62,37.12,13.9226,8907100.0,0.0
1999-11-28,37.12,37.44,35.88,36.37,13.6413,6241700.0,0.0
1999-12-05,36.56,41.0,35.81,40.69,15.2616,10031000.0,0.0
1999-12-12,39.12,40.06,37.56,38.5,14.4402,8060100.0,0.0
1999-12-19,38.5,38.87,36.56,38.06,14.2752,10282200.0,0.0
1999-12-26,38.19,40.94,38.19,40.94,15.3554,4244000.0,0.0
2000-01-02,43.25,45.75,42.62,45.0,16.8781,3509900.0,0.0
2000-01-09,47.25,49.25,45.0,47.75,17.9096,9964400.0,0.0
2000-01-16,49.31,55.37,48.62,55.19,20.7001,11280000.0,0.0
2000-01-23,52.87,56.0,52.62,54.62,20.4863,9146800.0,0.0
2000-01-30,56.37,72.0,54.06,54.31,20.37,23021900.0,0.0
2000-02-06,53.25,70.5,50.87,66.94,25.1072,19329000.0,0.0
2000-02-13,66.94,66.94,58.12,61.5,23.0668,10688400.0,0.0
2000-02-20,60.5,64.0,59.12,59.75,22.4104,8247800.0,0.0
2000-02-27,57.25,59.0,54.44,58.31,21.8703,22179600.0,0.0
2000-03-05,58.56,65.0,57.31,65.0,24.3795,16872100.0,0.0
2000-03-12,63.06,63.25,54.5,55.62,20.8614,13214200.0,0.0
2000-03-19,52.75,60.75,50.5,59.5,22.3166,17026500.0,0.0
2000-03-26,53.75,58.94,50.25,56.87,21.3302,33086100.0,0.0
2000-04-02,59.75,61.12,55.0,57.0,21.379,9693700.0,0.0
2000-04-09,58.0,58.12,50.37,54.94,20.6063,23173900.0,0.0
2000-04-16,56.25,56.37,39.19,39.81,14.9315,33263600.0,0.0
2000-04-23,40.0,49.25,40.0,46.56,17.4632,17191500.0,0.0
2000-04-30,46.0,52.75,44.0,52.31,19.6199,14697500.0,0.0
2000-05-07,52.69,53.25,45.12,48.0,18.0033,11616700.0,0.0
2000-05-14,47.87,48.0,43.06,43.87,16.4543,11940500.0,0.0
2000-05-21,35.13,40.63,34.19,37.31,13.9939,12206600.0,0.0
2000-05-28,38.0,38.0,31.25,32.63,12.2385,14444700.0,0.0
2000-06-04,35.38,38.5,35.0,37.38,14.0201,20953300.0,0.0
2000-06-11,37.44,41.06,36.0,40.75,15.2841,22684400.0,0.0
2000-06-18,41.0,41.0,36.0,36.06,13.525,13619200.0,0.0
2000-06-25,36.13,39.44,36.06,36.81,13.8063,15707000.0,0.0
2000-07-02,36.81,39.88,36.5,38.56,14.4627,12853300.0,0.0
2000-07-09,39.0,39.13,36.31,36.69,13.7613,8783200.0,0.0
2000-07-16,35.56,36.63,34.88,36.25,13.5963,13196900.0,0.0
2000-07-23,36.63,36.69,31.88,31.94,11.9797,14817100.0,0.0
2000-07-30,31.5,31.63,27.56,28.25,10.5957,22467500.0,0.0
2000-08-06,29.63,30.63,28.0,29.94,11.2296,15001200.0,0.0
2000-08-13,29.94,31.25,29.0,31.25,11.7209,13747800.0,0.0
2000-08-20,31.06,36.5,30.75,36.5,13.69,17296000.0,0.0
2000-08-27,36.0,37.5,34.56,35.75,13.4087,13976000.0,0.0
2000-09-03,35.81,36.88,32.44,32.56,12.2123,13351200.0,0.0
2000-09-10,32.56,33.44,29.63,29.63,11.1133,13457900.0,0.0
2000-09-17,30.0,30.44,27.06,27.31,10.2432,14877800.0,0.0
