date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
1999-11-14,58.5,59.19,56.56,58.88,38.5021,33796800.0,0.0
1999-11-21,59.0,60.69,57.75,58.13,38.0116,32430200.0,0.0
1999-11-28,57.19,58.69,55.5,58.21,38.064,20765500.0,0.0
1999-12-05,58.5,59.38,57.0,59.06,38.6198,25945500.0,0.0
1999-12-12,58.56,64.5,57.63,63.25,41.3597,37814600.0,0.0
1999-12-19,65.5,69.19,64.75,65.0,42.5362,47895800.0,0.05
1999-12-26,66.13,68.0,63.19,67.38,44.0937,18560500.0,0.0
2000-01-02,67.31,70.25,67.31,69.13,45.2389,16037800.0,0.0
2000-01-09,68.38,69.0,62.19,68.5,44.8266,36655100.0,0.0
2000-01-16,67.25,67.75,64.0,64.5,42.209,27075800.0,0.0
2000-01-23,63.19,66.44,62.06,62.44,40.8609,23952700.0,0.0
2000-01-30,63.44,63.44,53.5,55.13,36.0772,40094800.0,0.0
2000-02-06,54.56,59.69,54.13,56.31,36.8494,35915000.0,0.0
2000-02-13,56.63,60.13,54.63,56.06,36.6858,32244700.0,0.0
2000-02-20,56.69,58.88,47.25,47.75,31.2477,73262600.0,0.0
2000-02-27,49.25,49.31,43.44,44.5,29.1209,61557400.0,0.0
2000-03-05,44.56,53.31,44.56,52.63,34.4412,71532600.0,0.0
2000-03-12,52.63,52.69,45.63,47.94,31.3721,45187400.0,0.0
2000-03-19,46.25,56.25,45.88,55.75,36.5255,64736200.0,0.06
2000-03-26,55.81,56.63,53.38,55.5,36.3617,39565600.0,0.0
2000-04-02,54.69,60.75,54.25,56.5,37.0168,45794000.0,0.0
2000-04-09,56.63,63.31,56.63,61.5,40.2927,43944800.0,0.0
2000-04-16,61.5,64.94,55.0,55.0,36.0341,35376900.0,0.0
2000-04-23,55.13,57.94,51.75,57.69,37.7965,29667400.0,0.0
2000-04-30,57.94,60.75,55.38,55.38,36.2831,27401600.0,0.0
2000-05-07,56.38,58.81,50.19,51.31,33.6165,39794700.0,0.0
2000-05-14,51.25,57.19,49.5,56.81,37.2199,38235900.0,0.0
2000-05-21,56.25,59.06,55.44,57.06,37.3837,26488900.0,0.0
2000-05-28,57.69,58.38,52.75,54.0,35.3789,27876200.0,0.0
2000-06-04,53.06,60.06,52.69,59.06,38.6941,23886100.0,0.0
2000-06-11,59.31,59.75,53.94,54.0,35.3789,23501300.0,0.0
2000-06-18,54.0,56.19,51.63,53.88,35.3387,37739700.0,0.06
2000-06-25,53.69,55.0,51.88,53.75,35.2535,28290200.0,0.0
2000-07-02,54.19,57.73,53.56,57.63,37.7983,28216300.0,0.0
2000-07-09,57.25,62.06,56.13,61.56,40.3759,23988300.0,0.0
