date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
1999-11-14,87.75,97.73,86.75,90.62,0.6867,25776200.0,0.0
1999-11-21,89.62,94.75,88.06,92.44,0.7005,13711000.0,0.0
1999-11-28,91.75,95.5,88.5,95.06,0.7203,9757600.0,0.0
1999-12-05,94.25,115.56,93.25,115.0,0.8714,28046300.0,0.0
1999-12-12,114.56,118.0,99.0,103.0,0.7805,25152800.0,0.0
1999-12-19,102.39,102.5,91.06,100.0,0.7578,22746800.0,0.0
1999-12-26,99.56,104.56,96.62,103.5,0.7843,10251700.0,0.0
2000-01-02,104.37,104.44,95.0,102.81,0.7791,9566300.0,0.0
2000-01-09,104.87,112.5,95.0,99.5,0.754,27278600.0,0.0
2000-01-16,102.0,102.25,86.5,100.44,0.7611,29872700.0,0.0
2000-01-23,101.0,121.5,100.44,111.31,0.8435,30213200.0,0.0
2000-01-30,108.44,114.19,100.62,101.62,0.77,18470300.0,0.0
2000-02-06,101.0,110.0,94.5,108.0,0.8184,21289500.0,0.0
2000-02-13,108.0,117.12,105.94,108.75,0.8241,14859900.0,0.0
2000-02-20,109.31,119.94,108.62,111.25,0.843,15664900.0,0.0
2000-02-27,110.12,119.12,106.69,110.37,0.8363,13580100.0,0.0
2000-03-05,110.12,132.06,108.37,128.0,0.9699,21508200.0,0.0
2000-03-12,126.0,129.13,118.25,125.75,0.9529,11429700.0,0.0
2000-03-19,122.12,126.5,114.0,125.0,0.9472,16600800.0,0.0
2000-03-26,123.5,150.38,121.62,138.69,1.0509,20591900.0,0.0
2000-04-02,137.63,144.75,125.44,135.81,1.0291,13759100.0,0.0
2000-04-09,135.5,139.5,116.75,131.75,0.9983,17398400.0,0.0
2000-04-16,131.69,132.75,104.87,111.87,0.8477,25827400.0,0.0
2000-04-23,109.5,130.25,109.06,118.87,0.9007,18238900.0,0.0
2000-04-30,115.0,128.75,114.75,124.06,0.9401,15878200.0,0.0
2000-05-07,124.87,126.25,110.56,113.12,0.8572,14607300.0,0.0
2000-05-14,112.09,113.69,98.75,107.62,0.8155,16551700.0,0.0
2000-05-21,108.06,109.06,93.37,94.0,0.7123,23499300.0,0.0
2000-05-28,93.75,93.75,83.0,86.37,0.6545,22673700.0,0.0
2000-06-04,87.62,99.75,80.37,92.56,0.7014,25386200.0,0.0
2000-06-11,93.31,98.5,89.69,95.75,0.7256,14973700.0,0.0
2000-06-18,96.37,96.44,88.19,91.19,0.691,13137300.0,0.0
2000-06-25,90.56,103.94,50.31,51.69,0.7834,24381700.0,0.0
2000-07-02,52.5,55.5,51.06,52.38,0.7938,21464500.0,0.0
2000-07-09,52.13,55.19,49.63,54.44,0.825,16235600.0,0.0
2000-07-16,54.09,60.63,53.75,57.69,0.8743,28876100.0,0.0
2000-07-23,58.25,58.88,51.75,53.56,0.8117,30323000.0,0.0
2000-07-30,52.56,53.25,46.88,48.31,0.7321,24413000.0,0.0
2000-08-06,49.16,51.63,44.25,47.38,0.7181,18892100.0,0.0
2000-08-13,47.88,49.06,45.56,47.69,0.7228,22025600.0,0.0
2000-08-20,47.59,52.44,46.31,50.0,0.7578,15635900.0,0.0
2000-08-27,50.25,57.5,49.63,56.81,0.861,23095700.0,0.0
2000-09-03,57.25,63.63,57.06,63.44,0.9614,28355300.0,0.0
2000-09-10,62.66,64.12,57.75,58.88,0.8923,19054100.0,0.0
2000-09-17,58.69,60.38,54.25,55.23,0.837,26829100.0,0.0
2000-09-24,55.25,61.44,50.0,52.19,0.7909,38582600.0,0.0
2000-10-01,52.75,55.5,25.37,25.75,0.3902,170178100.0,0.0
2000-10-08,26.69,26.75,21.0,22.19,0.3363,132403500.0,0.0
2000-10-15,22.62,22.87,19.12,22.06,0.3343,87962600.0,0.0
2000-10-22,22.31,23.25,18.31,19.5,0.2955,81324100.0,0.0
2000-10-29,20.27,20.87,17.5,18.56,0.2813,62251200.0,0.0
2000-11-05,19.12,23.0,18.75,22.25,0.3372,57267000.0,0.0
2000-11-12,22.44,22.62,19.06,19.06,0.2889,36011000.0,0.0
2000-11-19,18.75,20.5,18.25,18.5,0.2804,32298700.0,0.0
2000-11-26,18.59,19.5,18.25,19.31,0.2926,20562200.0,0.0
2000-12-03,19.87,19.94,16.12,17.06,0.2585,39560200.0,0.0
2000-12-10,17.19,17.44,14.0,15.06,0.2282,57223300.0,0.0
2000-12-17,15.19,16.0,14.0,14.06,0.2131,32873600.0,0.0
2000-12-24,14.56,15.25,13.63,15.0,0.2273,34822200.0,0.0
2000-12-31,14.88,15.0,14.19,14.88,0.2255,26389200.0,0.0
2001-01-07,14.88,18.5,14.44,16.37,0.2481,43234600.0,0.0
2001-01-14,16.94,18.5,15.94,17.19,0.2605,49473600.0,0.0
2001-01-21,17.44,19.56,16.5,19.5,0.2955,56261900.0,0.0
2001-01-28,19.06,20.94,18.44,19.56,0.2964,55151400.0,0.0
2001-02-04,19.56,22.5,19.56,20.62,0.3125,54923100.0,0.0
2001-02-11,20.5,21.39,18.69,19.12,0.2898,41730800.0,0.0
2001-02-18,19.06,20.56,18.5,19.0,0.2879,24922100.0,0.0
2001-02-25,19.19,19.94,18.0,18.81,0.2851,25553200.0,0.0
2001-03-04,19.06,20.44,17.19,19.25,0.2917,32140200.0,0.0
2001-03-11,19.37,22.06,19.25,20.25,0.3069,35348400.0,0.0
2001-03-18,19.69,21.37,18.12,19.62,0.2973,41281400.0,0.0
2001-03-25,19.75,23.56,19.37,23.0,0.3486,51692500.0,0.0
2001-04-01,23.13,23.75,21.13,22.07,0.3345,51363400.0,0.0
2001-04-08,22.09,22.66,18.75,20.59,0.312,38691700.0,0.0
2001-04-15,20.69,23.02,20.06,22.42,0.3398,24231900.0,0.0
2001-04-22,22.09,25.75,19.6,25.04,0.3795,82827500.0,0.0
2001-04-29,24.34,26.29,23.51,26.2,0.3971,44681300.0,0.0
2001-05-06,26.7,27.12,23.96,25.75,0.3902,33449100.0,0.0
2001-05-13,25.62,25.76,22.76,22.85,0.3463,25158900.0,0.0
2001-05-20,22.89,25.5,22.75,23.53,0.3566,24281200.0,0.0
