date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
2013-01-13,34.15,35.45,33.33,33.85,22.0625,81410400.0,0.4
2013-01-20,34.01,37.32,33.71,37.32,24.3241,73404800.0,0.0
2013-01-27,36.98,38.52,35.93,37.6,24.5066,47053000.0,0.0
2013-02-03,37.65,37.87,36.25,37.18,24.2329,47068600.0,0.0
2013-02-10,36.64,37.73,35.8,36.25,23.6267,43102500.0,0.0
2013-02-17,36.13,37.81,35.01,37.58,24.4936,39232100.0,0.0
2013-02-24,37.54,39.13,37.11,38.46,25.0671,28140400.0,0.0
2013-03-03,38.54,38.61,36.4,37.81,24.6435,40617400.0,0.0
2013-03-10,37.53,38.57,37.16,37.34,24.3372,26117700.0,0.0
2013-03-17,37.25,38.54,36.86,38.5,25.0932,36916900.0,0.0
2013-03-24,38.05,39.19,37.84,38.97,25.3996,25419500.0,0.0
2013-03-31,39.12,40.8,38.93,40.78,26.5793,24852700.0,0.0
2013-04-07,39.96,41.78,39.96,41.31,26.9247,50150200.0,0.0
2013-04-14,41.27,43.77,41.07,43.09,28.3449,43626200.0,0.4
2013-04-21,42.87,43.03,41.13,42.39,27.8844,30698900.0,0.0
2013-04-28,43.0,46.32,42.88,45.84,30.1539,38784400.0,0.0
2013-05-05,45.83,46.23,43.83,44.68,29.3908,33512000.0,0.0
2013-05-12,44.95,45.05,43.25,45.01,29.6079,24307200.0,0.0
2013-05-19,44.79,47.34,44.09,47.17,31.0287,26051300.0,0.0
2013-05-26,47.12,48.0,45.3138,45.44,29.8907,21268000.0,0.0
2013-06-02,45.89,46.04,42.6825,42.69,28.0818,27251200.0,0.0
2013-06-09,42.88,44.47,42.65,44.0,28.9435,26231000.0,0.0
2013-06-16,44.33,44.33,40.1,43.21,28.4238,22195100.0,0.0
2013-06-23,43.4,43.83,40.91,42.62,28.0357,28066500.0,0.0
2013-06-30,42.07,43.98,41.32,41.34,27.1937,31380000.0,0.0
2013-07-07,41.4,42.83,41.07,42.72,28.1015,14115300.0,0.0
2013-07-14,42.9,45.11,42.82,45.05,29.905,20619400.0,0.4
2013-07-21,44.95,44.97,43.7,44.52,29.5531,17987300.0,0.0
2013-07-28,44.3,45.12,43.35,44.79,29.7324,19013300.0,0.0
2013-08-04,44.72,45.91,44.2,45.32,30.0842,20809600.0,0.0
2013-08-11,45.05,45.365,44.22,44.71,29.6793,17416700.0,0.0
2013-08-18,44.71,45.23,42.42,43.0,28.5441,20065100.0,0.0
2013-08-25,43.01,43.81,42.25,43.43,28.8296,17064500.0,0.0
2013-09-01,43.43,43.74,42.26,42.61,28.2852,16935700.0,0.0
2013-09-08,43.0,44.35,42.31,43.89,29.1349,13464000.0,0.0
2013-09-15,43.88,44.97,43.5,44.89,29.7987,15882900.0,0.0
2013-09-22,45.32,48.42,45.19,47.84,31.757,33336700.0,0.0
2013-09-29,47.56,47.56,44.015,44.33,29.427,26565300.0,0.0
2013-10-06,44.52,46.88,44.03,46.8,31.0666,25197100.0,0.0
2013-10-13,46.12,46.98,44.32,45.65,30.5686,23861400.0,0.4
2013-10-20,45.21,48.95,45.07,48.33,32.3632,27765800.0,0.0
2013-10-27,48.08,49.83,47.74,49.3,33.0127,27815700.0,0.0
2013-11-03,49.13,50.2,48.44,48.96,32.7851,23020100.0,0.0
2013-11-10,49.19,49.19,46.83,48.03,32.1623,22134900.0,0.0
2013-11-17,48.23,48.75,47.275,48.44,32.4369,21048000.0,0.0
2013-11-24,48.89,49.96,47.83,48.94,32.7717,26026600.0,0.0
2013-12-01,49.0,49.28,48.07,48.45,32.4436,15534700.0,0.0
2013-12-08,48.49,51.5,48.02,51.35,34.3855,31846100.0,0.0
2013-12-15,51.45,54.13,50.72,52.37,35.0685,45384900.0,0.0
2013-12-22,53.42,54.78,52.02,52.59,35.2158,48324400.0,0.0
2013-12-29,52.73,53.06,52.24,52.55,35.189,11460300.0,0.0
2014-01-05,52.73,53.06,51.52,52.3,35.0216,15281900.0,0.0
2014-01-12,52.7,52.7,49.87,50.9,34.0842,40880100.0,0.0
2014-01-19,50.66,50.88,49.63,50.06,33.7908,31973500.0,0.4
2014-01-26,50.26,50.92,47.77,47.79,32.2585,30473100.0,0.0
