Date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
2023-09-14,39.0100,39.7300,37.9350,39.1000,39.1000,67643718,0.0000
2023-09-08,38.6500,38.9750,38.3250,38.6700,38.6700,22185002,0.0000
2023-09-01,36.3200,38.2450,36.2100,38.1300,38.1300,29255609,0.0000
2023-08-25,36.7100,36.8850,35.5350,36.1500,36.1500,26078827,0.0000
2023-08-18,36.5800,36.8550,35.6650,36.2400,36.2400,30308879,0.0000
2023-08-11,37.0200,37.7750,36.0106,37.1000,37.1000,33345238,0.4362
2023-08-04,36.7600,37.7500,35.7800,36.8000,36.3721,40262539,0.0000
2023-07-28,36.9400,37.3700,36.3650,36.7100,36.2832,28663304,0.0000
2023-07-21,35.6900,36.8200,35.3000,36.7000,36.2733,39331693,0.0000
2023-07-14,35.2900,36.9400,35.1050,35.5200,35.1070,44587701,0.0000
2023-07-07,36.0400,36.1200,34.4000,35.2500,34.8401,24732447,0.0000
2023-06-30,34.8100,35.5000,34.3400,35.2900,34.8797,33751444,0.0000
2023-06-23,35.2700,35.6284,34.6600,34.8100,34.4053,24023836,0.0000
2023-06-16,34.9200,35.7200,34.6450,35.3500,34.9390,45109795,0.0000
2023-06-09,35.8500,35.8800,34.6600,35.4700,35.0576,33622260,0.0000
2023-06-02,34.8200,35.8100,33.6200,35.6500,35.2355,39076244,0.0000
2023-05-26,35.7100,36.4950,34.9900,35.5500,35.1367,39093609,0.0000
2023-05-19,36.1900,36.4000,35.4500,36.0300,35.6111,43721951,0.0000
2023-05-12,37.4300,37.4800,35.5000,35.8100,35.3936,39731501,0.3966
2023-05-05,39.9800,40.4200,35.7000,37.1300,36.2981,65562106,0.0000
2023-04-28,39.4300,40.4600,39.0100,40.2800,39.3775,37050535,0.0000
2023-04-21,40.6600,40.6950,39.3200,39.6400,38.7518,31344520,0.0000
2023-04-14,39.4800,40.6150,39.3900,40.5800,39.6708,26920724,0.0000
2023-04-06,39.8700,40.1100,39.1400,39.5100,38.6247,41441791,0.0000
2023-03-31,36.5200,38.2200,36.2400,37.9400,37.0899,39186009,0.0000
2023-03-24,35.7200,37.4500,35.1700,35.8800,35.0761,49915435,0.0000
2023-03-17,37.4900,38.9000,34.1400,35.1700,34.3820,68064565,0.0000
2023-03-10,40.2300,40.5500,38.9100,39.0100,38.1360,34576171,0.0000
2023-03-03,40.0800,40.5300,39.2700,40.2200,39.3188,36043904,0.0000
2023-02-24,39.9400,40.2100,38.7250,39.7000,38.8105,34977096,0.0000
2023-02-17,40.4000,41.3800,39.9600,40.0200,39.1233,63040999,0.3966
2023-02-10,34.9500,40.8500,34.2822,40.6500,39.3580,98557029,0.0000
2023-02-03,36.5400,36.6900,34.8500,35.1500,34.0328,52445592,0.0000
2023-01-27,35.5000,36.5950,34.7600,36.3200,35.1656,41387392,0.0000
2023-01-20,35.5600,36.2300,35.1070,35.5000,34.3717,35489769,0.0000
2023-01-13,35.1400,35.6261,34.5100,35.5600,34.4298,37583403,0.0000
2023-01-06,35.0000,35.1900,33.5350,34.4600,33.3648,28755389,0.0000
2022-12-30,35.0000,35.4200,34.4700,34.9300,33.8198,19262992,0.0000
2022-12-23,34.2200,35.1550,33.8000,35.0100,33.8973,32380499,0.0000
2022-12-16,33.8100,35.1700,33.1400,33.6800,32.6096,39920731,0.0000
2022-12-09,35.7900,35.9450,33.6700,33.7100,32.6386,45212291,0.0000
2022-12-02,34.6300,36.1100,34.4300,35.3600,34.2362,43591653,0.0000
2022-11-25,33.0900,35.5000,32.3000,35.2700,34.1490,38941041,0.0000
2022-11-18,33.5800,34.4500,33.4282,34.0400,32.9581,42098091,0.0000
2022-11-11,34.3900,34.5400,32.2750,33.8400,32.7645,50531418,0.3604
2022-11-04,32.6700,34.1000,32.4700,33.9200,32.4799,51892886,0.0000
2022-10-28,31.6100,33.6600,31.5000,33.1500,31.7426,54187927,0.0000
2022-10-21,30.5300,31.4350,29.9850,31.3600,30.0286,48951736,0.0000
2022-10-14,30.8400,31.3100,29.5400,30.3300,29.0423,49666148,0.0000
2022-10-07,29.8300,31.5250,29.7500,31.0800,29.7605,61156969,0.0000
2022-09-30,27.8200,29.0700,27.2050,28.5500,27.3379,62376049,0.0000
2022-09-23,30.3500,31.4100,27.9450,28.0800,26.8878,46682111,0.0000
2022-09-16,32.1300,32.4250,30.7007,31.0100,29.6934,43138582,0.0000
2022-09-09,31.5200,31.7300,30.2000,31.6900,30.3446,38772794,0.0000
2022-09-02,31.9300,32.7867,30.1200,31.1300,29.8083,54008837,0.0000
2022-08-26,31.5300,32.8850,31.2750,32.3300,30.9574,46169898,0.0000
2022-08-19,30.4400,31.9500,30.2800,31.5100,30.1722,52072253,0.0000
2022-08-12,30.3400,31.7050,30.0400,31.6700,30.3254,49917878,0.3604
2022-08-05,29.0000,30.2600,28.7400,29.6600,28.0787,71233430,0.0000
2022-07-29,27.7600,29.4250,27.5600,29.3800,27.8136,54336449,0.0000
2022-07-22,27.8000,28.2300,27.0994,27.5500,26.0812,51216122,0.0000
2022-07-15,27.4500,27.5900,25.3650,26.6600,25.2387,55487899,0.0000
2022-07-08,27.4100,28.4600,26.0300,27.8400,26.3557,59147884,0.0000
