date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
1999-11-14,61.56,64.19,61.5,64.19,20.4324,305000.0,0.0
1999-11-21,64.12,67.56,63.81,66.0,21.0085,382700.0,0.0
1999-11-28,66.75,70.0,65.81,67.75,21.5655,252200.0,0.0
1999-12-05,68.94,68.94,64.75,67.12,21.365,326500.0,0.0
1999-12-12,67.88,69.75,66.06,69.62,22.1608,517300.0,0.0
1999-12-19,68.62,69.75,66.5,68.25,21.7247,261700.0,0.0
1999-12-26,69.5,69.5,68.0,69.44,22.1035,135200.0,0.0
2000-01-02,69.31,71.5,68.69,71.38,22.721,163000.0,0.0
2000-01-09,71.44,71.5,63.19,65.94,20.9894,485300.0,0.0
2000-01-16,63.75,66.0,62.31,63.88,20.3337,328600.0,0.0
2000-01-23,62.25,63.31,57.75,59.12,18.8185,759900.0,0.0
2000-01-30,61.0,62.56,58.5,60.0,19.0986,389500.0,0.0
2000-02-06,59.25,61.12,56.5,57.5,18.3029,486400.0,0.0
2000-02-13,56.88,59.25,55.5,55.88,17.7872,588500.0,0.0
2000-02-20,55.88,62.25,55.56,58.0,18.462,456800.0,0.0
2000-02-27,57.0,59.0,55.88,57.75,18.3824,301800.0,0.0
2000-03-05,57.0,59.75,56.12,57.0,18.1437,475000.0,0.0
2000-03-12,55.38,60.0,55.0,59.62,18.9777,863800.0,0.0
2000-03-19,56.0,59.0,55.0,56.5,18.3083,719200.0,1.035
2000-03-26,57.5,62.38,57.5,61.25,19.8475,605200.0,0.0
2000-04-02,60.75,61.88,58.62,60.94,19.747,286800.0,0.0
2000-04-09,56.88,58.0,56.0,57.5,18.6323,810100.0,0.0
2000-04-16,56.88,58.25,55.5,55.5,17.9842,512900.0,0.0
2000-04-23,55.88,57.81,55.25,57.25,18.5513,331100.0,0.0
2000-04-30,57.25,58.31,56.0,57.19,18.5319,433000.0,0.0
2000-05-07,57.0,58.19,55.06,55.56,18.0037,594200.0,0.0
2000-05-14,55.25,56.19,54.12,55.81,18.0847,350900.0,0.0
2000-05-21,55.81,56.25,53.94,54.5,17.6602,439700.0,0.0
2000-05-28,54.25,55.62,54.0,54.94,17.8028,641900.0,0.0
2000-06-04,55.69,58.5,55.38,58.0,18.7943,489200.0,0.0
2000-06-11,58.19,59.88,58.19,58.5,18.9564,616600.0,0.0
2000-06-18,59.5,60.44,59.25,59.69,19.342,520700.0,0.0
2000-06-25,59.38,59.75,56.19,56.38,18.2694,451300.0,0.0
2000-07-02,56.5,58.44,56.38,57.94,18.7749,347900.0,0.0
2000-07-09,57.75,58.56,57.75,58.31,18.8948,260200.0,0.0
2000-07-16,58.44,65.25,58.38,64.19,20.8001,442800.0,0.0
2000-07-23,64.0,66.25,62.62,65.75,21.3056,392500.0,0.0
2000-07-30,66.0,69.25,65.62,66.62,21.5876,499400.0,0.0
2000-08-06,68.0,70.44,67.38,69.69,22.5824,497300.0,0.0
2000-08-13,70.0,72.19,69.06,72.19,23.3925,509900.0,0.0
2000-08-20,71.0,73.0,69.88,71.5,23.4128,1872700.0,0.75
2000-08-27,72.0,74.25,71.75,72.75,23.8221,496700.0,0.0
2000-09-03,72.5,74.62,71.0,74.44,24.3755,745200.0,0.0
2000-09-10,73.0,75.38,73.0,74.06,24.251,320500.0,0.0
2000-09-17,72.88,73.88,70.56,71.06,23.2687,378800.0,0.0
2000-09-24,68.94,70.0,67.5,69.25,22.676,324100.0,0.0
2000-10-01,70.02,72.5,69.4,71.4,23.38,366200.0,0.0
2000-10-08,71.2,74.7,70.4,72.12,23.6158,337300.0,0.0
2000-10-15,71.0,71.2,66.22,68.99,22.5909,456900.0,0.0
2000-10-22,69.75,71.45,67.2,69.71,22.8266,355800.0,0.0
2000-10-29,71.0,72.75,68.75,70.0,22.9216,278200.0,0.0
2000-11-05,68.75,75.9,68.75,74.81,24.4966,356700.0,0.0
2000-11-12,74.81,76.1,73.55,74.45,24.3787,295800.0,0.0
2000-11-19,72.1,74.0,72.01,72.95,23.8876,380500.0,0.0
2000-11-26,73.5,74.3,68.3,69.3,22.6924,227400.0,0.0
2000-12-03,71.29,72.1,66.7,68.7,22.4959,408500.0,0.0
