date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
1999-11-14,105.6,105.9,102.3,103.8,28.3363,9922400.0,0.28
1999-11-21,103.8,106.9,102.6,105.2,28.7185,10273400.0,0.0
1999-11-28,105.1,105.8,103.2,103.2,28.1725,6222500.0,0.0
1999-12-05,103.0,105.3,96.13,97.25,26.5483,15689000.0,0.0
1999-12-12,96.0,97.94,90.25,94.38,25.7648,21064900.0,0.0
1999-12-19,94.63,95.75,92.0,94.88,25.9013,19157100.0,0.0
1999-12-26,93.94,95.88,90.13,95.56,26.0869,11886100.0,0.0
2000-01-02,95.44,97.75,92.25,93.25,25.4563,7255400.0,0.0
2000-01-09,93.13,96.94,88.44,96.5,26.3435,17957200.0,0.0
2000-01-16,96.69,96.94,92.81,93.69,25.5764,13154400.0,0.0
2000-01-23,92.0,93.06,89.63,89.88,24.5363,11869400.0,0.0
2000-01-30,90.13,90.19,80.5,84.5,23.0676,29249500.0,0.0
2000-02-06,85.19,86.75,81.81,82.13,22.4207,19034600.0,0.0
2000-02-13,81.56,83.0,75.94,77.44,21.2168,22974000.0,0.28
2000-02-20,76.94,81.13,76.69,77.44,21.2168,20252100.0,0.0
2000-02-27,78.0,79.06,70.31,72.0,19.7263,23667400.0,0.0
2000-03-05,72.0,74.94,70.06,73.5,20.1373,22852900.0,0.0
2000-03-12,72.94,73.75,66.13,70.88,19.4195,27691100.0,0.0
2000-03-19,69.63,80.5,69.31,79.56,21.7976,27244100.0,0.0
2000-03-26,79.69,82.25,70.19,72.25,19.7948,36959700.0,0.0
2000-04-02,71.0,72.13,68.63,70.25,19.2469,37015400.0,0.0
2000-04-09,70.63,77.5,70.0,74.06,20.2907,30893900.0,0.0
2000-04-16,74.81,79.38,72.56,73.31,20.0852,20183100.0,0.0
2000-04-23,75.63,82.94,75.5,81.63,22.3647,20203100.0,0.0
2000-04-30,81.5,84.44,81.5,82.5,22.6031,14113600.0,0.0
2000-05-07,82.25,84.94,81.88,84.0,23.0141,11672700.0,0.0
2000-05-14,84.94,88.44,84.13,85.5,23.425,17180600.0,0.0
2000-05-21,85.25,89.63,85.13,88.75,24.4031,13156300.0,0.32
2000-05-28,89.63,90.0,85.19,88.13,24.2326,13791700.0,0.0
2000-06-04,88.19,89.5,82.5,84.0,23.097,11594400.0,0.0
2000-06-11,83.5,87.5,82.56,86.13,23.6827,10201000.0,0.0
2000-06-18,86.75,91.0,84.69,89.56,24.6258,14999000.0,0.0
2000-06-25,89.75,90.44,88.06,89.75,24.6781,10428500.0,0.0
2000-07-02,92.38,102.0,92.06,101.9,28.0189,32022700.0,0.0
2000-07-09,101.3,101.4,99.19,99.75,27.4277,12181300.0,0.0
2000-07-16,100.8,100.9,91.06,91.81,25.2445,18513900.0,0.0
2000-07-23,93.0,95.75,91.0,92.25,25.3655,18004800.0,0.0
2000-07-30,92.31,95.38,90.25,93.66,25.7532,15158100.0,0.0
2000-08-06,93.69,97.38,92.38,96.56,26.5506,13059400.0,0.0
2000-08-13,97.5,98.88,93.63,97.84,26.9025,12859200.0,0.0
2000-08-20,98.0,98.38,95.31,96.42,26.6001,9782700.0,0.32
2000-08-27,97.0,97.94,94.81,95.44,26.3297,8660700.0,0.0
2000-09-03,94.5,96.56,91.25,92.63,25.5545,10501300.0,0.0
2000-09-10,92.63,94.5,91.31,94.46,26.0594,8679700.0,0.0
2000-09-17,94.69,97.81,94.69,95.0,26.2083,11665300.0,0.0
2000-09-24,92.75,96.56,90.31,95.88,26.4511,14201800.0,0.0
2000-10-01,95.81,96.44,92.75,93.94,25.9159,12200500.0,0.0
2000-10-08,94.19,94.25,90.31,92.31,25.4662,13299900.0,0.0
2000-10-15,92.31,97.5,91.25,95.81,26.4318,17642000.0,0.0
2000-10-22,95.81,97.44,90.88,91.88,25.3476,19442800.0,0.0
2000-10-29,92.0,94.94,90.63,92.75,25.5876,14938200.0,0.0
2000-11-05,93.63,94.56,89.19,91.69,25.2952,18015100.0,0.0
2000-11-12,92.06,95.44,90.75,94.44,26.0538,14308600.0,0.0
2000-11-19,94.19,95.31,91.88,95.13,26.2773,12387000.0,0.12
2000-11-26,95.13,97.88,94.0,95.06,26.258,10617200.0,0.0
2000-12-03,95.38,103.0,94.31,97.75,27.001,24782200.0,0.0
2000-12-10,95.88,100.0,95.56,96.38,26.6226,16033000.0,0.0
2000-12-17,96.0,100.0,95.25,98.56,27.2248,19243500.0,0.0
2000-12-24,98.56,102.0,97.31,101.5,28.0369,18930200.0,0.0
2000-12-31,101.5,105.9,101.38,105.1,29.0313,10530800.0,0.0
2001-01-07,104.0,104.7,95.13,97.88,27.0369,21199800.0,0.0
2001-01-14,97.19,99.5,92.19,94.56,26.1199,17302100.0,0.0
2001-01-21,94.19,94.94,91.25,94.13,26.0011,15576700.0,0.0
2001-01-28,95.25,95.94,90.38,91.94,25.3962,20734800.0,0.0
2001-02-04,92.5,95.61,90.71,95.1,26.269,15778800.0,0.0
2001-02-11,95.35,95.99,93.2,94.98,26.2359,13381100.0,0.0
2001-02-18,96.5,98.25,93.24,94.53,26.2003,19457900.0,0.32
2001-02-25,94.6,97.85,94.6,95.49,26.4664,11046900.0,0.0
2001-03-04,95.51,99.85,94.3,99.15,27.4808,16850700.0,0.0
2001-03-11,98.25,98.75,94.2,96.7,26.8017,16734000.0,0.0
2001-03-18,96.7,97.0,91.5,91.99,25.4963,21205900.0,0.0
2001-03-25,91.2,92.45,83.68,88.21,24.4486,24534300.0,0.0
2001-04-01,86.25,89.23,80.5,87.47,24.2435,76554200.0,0.0
2001-04-08,87.5,91.5,85.19,90.39,25.0528,31419100.0,0.0
2001-04-15,90.85,92.5,90.13,90.95,25.208,26302000.0,0.0
2001-04-22,91.5,94.65,90.91,92.11,25.5295,22537000.0,0.0
2001-04-29,92.35,95.7,90.87,95.38,26.4359,20210800.0,0.0
2001-05-06,95.9,98.0,95.8,97.76,27.0955,20247000.0,0.0
2001-05-13,98.2,98.48,96.98,97.26,26.9569,20087600.0,0.0
2001-05-20,97.45,102.0,96.36,101.0,28.0933,23079100.0,0.36
2001-05-27,100.5,101.0,96.79,97.25,27.0502,19945600.0,0.0
2001-06-03,97.25,98.19,96.4,98.0,27.2588,17290200.0,0.0
2001-06-10,98.0,103.5,97.9,102.0,28.3715,22444000.0,0.0
2001-06-17,101.2,102.0,50.5,52.04,28.95,26679750.0,0.0
2001-06-24,51.5,54.2,51.49,52.39,29.1447,43352500.0,0.0
2001-07-01,51.75,52.59,49.13,49.96,27.7929,53887000.0,0.0
2001-07-08,50.1,51.94,50.0,50.41,28.0432,22970300.0,0.0
2001-07-15,51.0,53.74,50.18,53.05,29.5119,47343500.0,0.0
2001-07-22,53.05,54.98,52.0,54.49,30.313,47685500.0,0.0
2001-07-29,54.24,54.35,52.1,53.01,29.4896,32188700.0,0.0
2001-08-05,53.02,54.39,52.15,53.58,29.8067,31246700.0,0.0
2001-08-12,53.7,55.05,52.55,55.02,30.6078,29431500.0,0.0
2001-08-19,55.02,57.6,53.05,53.75,30.0014,55738200.0,0.18
2001-08-26,54.0,55.1,53.93,54.6,30.4759,34797600.0,0.0
2001-09-02,54.5,54.74,52.3,52.71,29.4209,25901000.0,0.0
2001-09-09,55.75,57.16,54.9,55.73,31.1066,53868400.0,0.0
2001-09-16,55.7,56.25,55.06,55.62,31.0452,6714100.0,0.0
2001-09-23,57.0,57.0,50.2,52.24,29.1586,63890000.0,0.0
2001-09-30,53.65,55.4,51.75,55.4,30.9224,51959700.0,0.0
2001-10-07,55.4,55.7,53.05,55.49,30.9726,44112300.0,0.0
2001-10-14,56.08,56.23,53.9,55.35,30.8945,32090600.0,0.0
2001-10-21,55.15,58.6,54.86,58.42,32.6081,47300900.0,0.0
2001-10-28,58.42,59.66,57.8,58.67,32.7476,36636600.0,0.0
2001-11-04,58.15,59.47,57.53,58.98,32.9206,32953000.0,0.0
2001-11-11,59.12,59.85,57.95,59.56,33.2444,35445600.0,0.0
