date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
1999-11-14,84.81,90.75,84.37,89.19,27.7604,270831600.0,0.0
1999-11-21,88.25,88.5,84.37,86.0,26.7675,147891900.0,0.0
1999-11-28,89.62,93.37,88.37,91.12,28.3611,121834600.0,0.0
1999-12-05,90.12,97.12,89.5,96.12,29.9174,142022200.0,0.0
1999-12-12,95.25,97.19,91.44,93.87,29.2171,115003700.0,0.0
1999-12-19,93.61,117.12,92.75,115.25,35.8716,293469200.0,0.0
1999-12-26,114.81,119.25,110.62,117.44,36.5532,83236700.0,0.0
2000-01-02,118.44,119.94,116.12,116.75,36.3385,54560000.0,0.0
2000-01-09,117.37,118.62,107.31,111.44,34.6857,144198600.0,0.0
2000-01-16,113.44,114.25,101.5,112.25,34.9379,157400000.0,0.0
2000-01-23,111.81,116.5,103.25,103.75,32.2922,151908900.0,0.0
2000-01-30,103.8,105.69,97.25,98.25,30.5803,147333000.0,0.0
2000-02-06,97.62,108.0,94.87,106.56,33.1668,148928900.0,0.0
2000-02-13,106.81,110.0,99.12,99.94,31.1064,160705800.0,0.0
2000-02-20,101.23,101.75,94.87,95.06,29.5875,188332600.0,0.0
2000-02-27,95.12,97.12,90.5,91.31,28.4203,138589000.0,0.0
2000-03-05,90.25,98.87,88.12,96.12,29.9174,224913400.0,0.0
2000-03-12,96.0,102.5,90.12,101.0,31.4363,248374100.0,0.0
2000-03-19,97.62,100.25,93.25,99.37,30.929,173495700.0,0.0
2000-03-26,98.75,115.0,96.5,111.69,34.7636,241909200.0,0.0
2000-04-02,107.77,108.94,102.37,106.25,33.0704,192686000.0,0.0
2000-04-09,94.44,96.5,84.94,89.06,27.72,336642600.0,0.0
2000-04-16,88.62,88.62,73.25,74.12,23.0699,265592500.0,0.0
2000-04-23,74.25,81.94,73.0,78.94,24.5701,158834800.0,0.0
2000-04-30,67.25,71.12,65.0,69.75,21.7097,368003400.0,0.0
2000-05-07,72.87,74.0,68.81,71.12,22.1361,170300700.0,0.0
2000-05-14,70.94,71.37,65.75,68.81,21.4171,130491400.0,0.0
2000-05-21,69.0,70.62,64.5,65.06,20.2499,127885300.0,0.0
2000-05-28,65.12,66.56,60.38,61.44,19.1232,181785700.0,0.0
2000-06-04,62.44,66.75,62.0,66.31,20.639,149237500.0,0.0
2000-06-11,66.02,72.12,66.0,68.81,21.4171,185102700.0,0.0
2000-06-18,69.0,73.12,66.12,72.56,22.5843,153922700.0,0.0
2000-06-25,72.56,82.19,72.0,77.69,24.181,203203100.0,0.0
2000-07-02,77.5,80.12,76.69,80.0,24.9,103811400.0,0.0
