date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
1999-11-14,27.38,32.0,26.5,32.0,0.6117,4063800.0,0.0
1999-11-21,32.22,44.38,30.88,42.88,0.8197,8903200.0,0.0
1999-11-28,43.97,44.0,35.56,38.25,0.7312,3275100.0,0.0
1999-12-05,38.13,40.13,34.63,38.13,0.7289,3103100.0,0.0
1999-12-12,38.25,40.5,36.38,37.94,0.7252,1833200.0,0.0
1999-12-19,37.5,38.81,35.13,37.63,0.7193,2204900.0,0.0
1999-12-26,37.69,46.5,36.38,46.38,0.8866,2754600.0,0.0
2000-01-02,47.38,47.44,44.13,46.94,0.8973,1626800.0,0.0
2000-01-09,47.25,47.63,39.5,41.88,0.8006,2044600.0,0.0
2000-01-16,42.0,45.69,39.88,43.94,0.8399,2600600.0,0.0
2000-01-23,44.5,48.25,42.5,44.75,0.8554,2396200.0,0.0
2000-01-30,46.19,46.19,35.88,37.38,0.7145,2873300.0,0.0
2000-02-06,37.56,41.06,35.0,40.56,0.7753,1367400.0,0.0
2000-02-13,40.75,51.75,38.0,50.0,0.9558,5560900.0,0.0
2000-02-20,50.12,68.25,49.63,67.38,1.288,7535000.0,0.0
2000-02-27,65.25,66.69,58.5,61.19,1.1697,3285300.0,0.0
2000-03-05,60.88,64.75,57.5,58.88,1.1255,3483800.0,0.0
2000-03-12,59.25,145.0,58.0,118.0,2.2557,12848300.0,0.0
2000-03-19,107.0,150.0,91.98,99.88,1.9093,13097000.0,0.0
2000-03-26,103.4,107.1,87.0,93.19,1.7814,3486500.0,0.0
2000-04-02,93.0,96.0,70.5,84.48,1.6149,5367900.0,0.0
2000-04-09,83.72,105.0,57.0,102.6,1.9613,4596900.0,0.0
2000-04-16,104.3,110.4,65.5,68.8,1.3152,3961500.0,0.0
2000-04-23,63.0,89.75,63.0,80.63,1.5413,2508100.0,0.0
2000-04-30,76.0,96.0,72.63,89.13,1.7038,2437100.0,0.0
2000-05-07,92.5,97.38,80.0,92.13,1.7611,2280000.0,0.0
2000-05-14,89.75,93.0,78.13,79.75,1.5245,2228700.0,0.0
2000-05-21,79.38,114.6,75.5,102.1,1.9517,6188000.0,0.0
2000-05-28,101.0,117.9,92.06,105.5,2.0167,5808300.0,0.0
2000-06-04,108.4,133.0,107.9,131.6,2.5156,3717400.0,0.0
2000-06-11,131.4,141.0,118.0,126.4,2.4162,4433600.0,0.0
2000-06-18,127.0,150.0,119.0,149.8,2.8635,5061200.0,0.0
2000-06-25,149.4,176.0,145.6,148.1,2.831,7289700.0,0.0
2000-07-02,151.0,166.9,57.5,63.56,2.43,14967200.0,0.0
2000-07-09,64.0,66.0,52.75,58.19,2.2247,8171300.0,0.0
2000-07-16,57.19,77.31,56.63,73.81,2.8219,9306900.0,0.0
2000-07-23,74.94,75.0,65.56,69.69,2.6643,3640200.0,0.0
2000-07-30,69.75,70.25,50.0,54.0,2.0645,7669600.0,0.0
2000-08-06,57.0,65.0,54.0,63.75,2.4372,6794700.0,0.0
