date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
1999-11-14,59.63,66.75,57.44,65.13,13.3988,69640400.0,0.0
1999-11-21,65.44,78.19,64.0,76.13,15.6618,81452300.0,0.0
1999-11-28,75.69,77.88,68.75,73.63,15.1474,49257600.0,0.0
1999-12-05,72.81,81.81,67.23,78.69,16.1884,65965200.0,0.0
1999-12-12,78.75,84.75,75.88,84.63,17.4104,62433400.0,0.0
1999-12-19,84.0,94.81,76.38,90.69,18.6571,106443000.0,0.0
1999-12-26,94.75,110.5,94.25,106.7,21.9507,60344100.0,0.0
2000-01-02,108.6,113.4,102.0,112.1,23.0616,33474900.0,0.0
2000-01-09,122.7,125.0,93.56,103.4,21.2718,145657300.0,0.0
2000-01-16,108.0,116.0,103.5,106.8,21.9713,93601000.0,0.0
2000-01-23,107.9,114.5,54.0,59.69,24.5593,81703500.0,0.0
2000-01-30,60.25,60.38,46.63,47.38,19.4944,149049400.0,0.0
2000-02-06,47.94,58.25,47.06,57.81,23.7858,142817900.0,0.0
2000-02-13,59.31,64.75,58.0,59.69,24.5593,126971700.0,0.0
2000-02-20,60.88,63.19,58.38,58.56,24.0944,111670700.0,0.0
2000-02-27,59.13,71.0,56.31,70.63,29.0605,159680200.0,0.0
2000-03-05,71.25,76.5,67.88,75.0,30.8586,161561400.0,0.0
2000-03-12,74.81,85.0,72.38,81.63,33.5865,131730100.0,0.0
2000-03-19,78.5,85.0,76.5,79.81,32.8376,222282600.0,0.0
2000-03-26,80.5,89.69,76.0,87.0,35.7959,128314000.0,0.0
2000-04-02,89.06,90.0,76.0,78.06,32.1176,135715300.0,0.0
2000-04-09,78.63,87.25,65.25,87.13,35.8494,189070700.0,0.0
2000-04-16,87.5,87.5,60.25,63.52,26.1351,183758100.0,0.0
2000-04-23,60.5,79.56,60.17,70.81,29.1346,145312800.0,0.0
2000-04-30,67.38,80.0,67.0,79.94,32.8911,131538100.0,0.0
2000-05-07,79.88,81.88,72.13,76.81,31.6033,98613500.0,0.0
2000-05-14,75.31,76.44,67.5,74.19,30.5253,118430900.0,0.0
2000-05-21,74.44,79.88,69.5,70.06,28.826,106450100.0,0.0
2000-05-28,70.06,70.81,58.13,67.0,27.567,172393500.0,0.0
2000-06-04,68.88,81.5,68.56,80.19,32.994,100619300.0,0.0
2000-06-11,79.25,83.75,75.56,82.69,34.0226,96175900.0,0.0
2000-06-18,82.56,83.75,78.06,81.88,33.6893,86659200.0,0.0
2000-06-25,82.06,87.63,78.56,79.5,32.7101,149536100.0,0.0
2000-07-02,80.25,85.0,79.25,84.06,34.5863,86736800.0,0.0
2000-07-09,81.13,81.75,71.75,75.88,31.2206,109391800.0,0.0
2000-07-16,74.63,76.63,71.13,76.13,31.3235,96892400.0,0.0
2000-07-23,75.31,79.0,73.0,75.44,31.0396,80110700.0,0.0
2000-07-30,77.13,78.63,71.06,72.38,29.7806,81373600.0,0.0
2000-08-06,71.75,82.31,71.38,81.56,33.5577,106532500.0,0.0
2000-08-13,80.88,84.28,79.25,81.13,33.3807,76536000.0,0.0
2000-08-20,80.19,84.75,79.88,81.31,33.4548,68487700.0,0.0
2000-08-27,82.13,86.81,80.77,84.63,34.8208,67965900.0,0.0
2000-09-03,85.0,92.94,84.94,92.63,38.1124,80421700.0,0.0
2000-09-10,92.38,92.81,86.5,86.56,35.6149,63568600.0,0.0
2000-09-17,86.06,86.75,76.94,78.31,32.2205,173154100.0,0.0
2000-09-24,78.81,80.75,74.75,80.73,33.2162,124719000.0,0.0
2000-10-01,81.13,82.56,78.0,78.75,32.4015,99989600.0,0.0
2000-10-08,79.75,82.13,60.5,67.63,27.8262,227755500.0,0.0
2000-10-15,67.63,68.75,31.0,35.63,29.3198,126171500.0,0.0
2000-10-22,36.56,37.0,30.5,35.25,29.0071,191776700.0,0.0
2000-10-29,34.75,36.63,30.94,34.19,28.1348,183340000.0,0.0
2000-11-05,33.75,34.75,27.25,30.31,24.942,354778400.0,0.0
2000-11-12,30.69,30.69,24.06,25.44,20.9345,319432600.0,0.0
2000-11-19,25.13,29.81,23.5,28.81,23.7076,287419400.0,0.0
2000-11-26,24.31,25.88,22.06,24.13,19.8565,224185000.0,0.0
2000-12-03,25.44,27.88,21.5,26.44,21.7573,297199800.0,0.0
2000-12-10,26.25,31.63,26.19,30.06,24.7362,223731600.0,0.0
2000-12-17,30.5,32.5,27.25,28.56,23.5019,280592900.0,0.0
2000-12-24,30.0,33.13,27.31,31.88,26.2339,257022200.0,0.0
2000-12-31,31.5,32.19,28.69,29.06,23.9133,103782800.0,0.0
2001-01-07,29.56,33.25,25.25,30.13,24.7938,218670200.0,0.0
2001-01-14,30.06,34.09,27.56,32.31,26.5877,241231300.0,0.0
2001-01-21,33.06,34.75,31.06,34.56,28.4393,167710000.0,0.0
2001-01-28,33.63,33.63,29.13,30.38,24.9996,273240600.0,0.0
2001-02-04,30.19,31.5,27.69,27.75,22.8353,199374300.0,0.0
2001-02-11,27.5,28.88,23.25,23.56,19.3874,240933800.0,0.0
2001-02-18,23.63,26.63,22.5,24.0,19.7495,224375400.0,0.0
2001-02-25,24.38,24.63,20.56,22.0,18.1037,224397700.0,0.0
2001-03-04,22.38,23.25,15.75,16.88,13.8905,449752500.0,0.0
2001-03-11,17.31,18.75,16.13,16.38,13.479,260230900.0,0.0
2001-03-18,16.0,17.0,13.5,14.06,11.5699,344849100.0,0.0
2001-03-25,14.38,16.56,14.19,15.88,13.0676,302612100.0,0.0
2001-04-01,16.5,16.78,14.05,14.98,12.327,215981000.0,0.0
2001-04-08,15.15,16.03,13.0,13.86,11.4053,247709600.0,0.0
2001-04-15,14.1,16.0,13.63,15.82,13.0182,190158200.0,0.0
2001-04-22,16.0,20.84,15.41,19.75,16.2522,343502100.0,0.0
2001-04-29,18.33,18.5,16.65,17.15,14.1127,249839800.0,0.0
2001-05-06,17.77,17.88,15.52,17.09,14.0633,321482400.0,0.0
2001-05-13,17.14,17.55,15.86,15.9,13.084,196467500.0,0.0
2001-05-20,16.08,16.79,15.45,16.28,13.3967,201519100.0,0.0
2001-05-27,16.27,18.52,16.19,16.51,13.586,229850200.0,0.0
2001-06-03,16.37,16.43,14.45,15.86,13.0511,222612600.0,0.0
2001-06-10,16.53,17.5,15.93,17.01,13.9974,170498300.0,0.0
2001-06-17,17.0,17.01,14.66,15.0,12.3434,200361400.0,0.0
2001-06-24,15.23,18.04,14.62,17.48,14.3842,312036300.0,0.0
2001-07-01,17.65,20.02,17.01,19.0,15.635,278068100.0,0.0
2001-07-08,19.24,20.0,18.04,18.21,14.9849,109151400.0,0.0
2001-07-15,18.18,19.93,17.46,19.54,16.0794,182754700.0,0.0
2001-07-22,19.31,19.79,18.46,19.07,15.6926,143004600.0,0.0
2001-07-29,19.13,20.0,17.88,19.06,15.6844,159464200.0,0.0
2001-08-05,19.07,19.18,17.9,18.0,14.8121,168145800.0,0.0
2001-08-12,17.68,18.01,15.0,15.16,12.4751,214095900.0,0.0
2001-08-19,15.04,16.32,14.63,14.72,12.113,181767000.0,0.0
2001-08-26,14.7,15.29,14.0,15.17,12.4833,148354400.0,0.0
2001-09-02,15.13,15.28,11.82,12.21,10.0475,219433400.0,0.0
2001-09-09,12.53,13.03,10.55,11.07,9.1094,226775700.0,0.0
2001-09-16,10.89,11.52,10.85,11.46,9.4304,53889500.0,0.0
2001-09-23,10.29,11.63,10.16,10.76,8.8544,346324900.0,0.0
2001-09-30,11.3,13.06,11.25,12.58,10.352,258824500.0,0.0
2001-10-07,12.47,14.59,12.18,14.2,11.6851,240538500.0,0.0
2001-10-14,14.4,15.0,13.38,14.94,12.2941,189758200.0,0.0
2001-10-21,14.47,15.35,13.59,14.54,11.9649,213085500.0,0.0
2001-10-28,14.32,15.48,13.26,13.58,11.1749,251624200.0,0.0
2001-11-04,13.42,14.55,13.1,14.45,11.8908,183342000.0,0.0
2001-11-11,14.82,16.28,14.44,15.38,12.6561,190466600.0,0.0
2001-11-18,15.25,15.53,14.2,14.55,11.9731,252638900.0,0.0
2001-11-25,15.05,15.18,13.97,14.41,11.8579,115193700.0,0.0
2001-12-02,14.79,14.92,13.68,14.03,11.5452,209701700.0,0.0
2001-12-09,14.27,16.03,13.32,15.91,13.0923,313081000.0,0.0
2001-12-16,16.02,16.02,14.31,14.57,11.9896,228767800.0,0.0
2001-12-23,15.0,15.4,14.35,14.38,11.8332,235463900.0,0.0
2001-12-30,14.64,14.7,13.87,14.06,11.5699,95481500.0,0.0
2002-01-06,14.23,15.89,13.8,15.45,12.7137,192796400.0,0.0
2002-01-13,15.76,17.25,15.27,16.27,13.3885,262625300.0,0.0
2002-01-20,16.68,17.5,16.03,16.48,13.5613,211513600.0,0.0
2002-01-27,16.97,17.43,15.83,16.69,13.7341,175696700.0,0.0
2002-02-03,17.14,17.33,15.82,16.39,13.4873,220393800.0,0.0
2002-02-10,16.64,16.64,15.36,16.18,13.3144,190497700.0,0.0
2002-02-17,16.4,16.86,15.41,15.49,12.7466,147882900.0,0.0
2002-02-24,15.33,15.8,14.51,15.5,12.7549,156375800.0,0.0
2002-03-03,15.58,16.95,15.52,15.99,13.1581,250108800.0,0.0
2002-03-10,13.95,14.55,12.95,14.2,11.6851,410603100.0,0.0
2002-03-17,14.15,14.75,12.59,12.6,10.3685,262812900.0,0.0
2002-03-24,12.83,13.5,12.44,12.85,10.5742,212237600.0,0.0
2002-03-31,12.92,13.0,12.46,12.8,10.5331,120631900.0,0.0
2002-04-07,12.6,12.89,12.03,12.13,9.9817,142790700.0,0.0
2002-04-14,11.96,12.38,10.86,11.51,9.4715,213428900.0,0.0
