Date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
2023-09-14,63.8800,65.3700,63.3600,65.3400,65.3400,22240241,0.0000
2023-09-08,63.2900,63.6400,62.6350,63.2000,63.2000,15102331,0.0000
2023-09-01,61.2400,63.1600,61.1100,62.8500,62.8500,13771706,0.0000
2023-08-25,61.5800,61.7100,60.1250,61.0300,61.0300,14962105,0.0000
2023-08-18,61.4400,61.7200,60.2660,61.2000,61.2000,21642935,0.0000
2023-08-11,61.5500,63.0950,60.3400,62.4200,62.4200,20943021,0.6620
2023-08-04,61.4000,61.9850,59.5050,61.1500,60.5073,24447539,0.0000
2023-07-28,62.8900,63.6900,60.6100,60.9400,60.2995,26390097,0.0000
2023-07-21,61.2200,62.9800,60.7700,62.9700,62.3081,22566907,0.0000
2023-07-14,59.7600,62.6000,59.7100,60.6800,60.0422,24053470,0.0000
2023-07-07,61.2600,61.3100,58.1400,59.6500,59.0230,16810189,0.0000
2023-06-30,60.1200,60.5700,58.8600,60.3800,59.7453,18543035,0.0000
2023-06-23,60.3300,61.1700,59.5350,59.6000,58.9735,17481931,0.0000
2023-06-16,58.0100,61.0900,57.5500,60.3500,59.7157,32448760,0.0000
2023-06-09,58.3500,59.0000,56.3100,58.4300,57.8158,26502256,0.0000
2023-06-02,57.5000,58.4500,55.7750,58.2600,57.6476,18388757,0.0000
2023-05-26,60.1200,60.7700,57.9400,58.7800,58.1622,19467609,0.0000
2023-05-19,60.5800,61.1500,59.5800,60.4200,59.7849,19310805,0.5750
2023-05-12,61.8800,61.9800,59.5200,60.3600,59.1592,17928711,0.0000
2023-05-05,61.4600,62.0300,58.2500,61.1300,59.9139,28789807,0.0000
2023-04-28,61.2600,62.2300,60.0300,61.9800,60.7470,19889754,0.0000
2023-04-21,61.5700,61.9506,60.8300,61.4600,60.2373,19307884,0.0000
2023-04-14,60.2300,62.3100,60.2300,62.0600,60.8254,17876821,0.0000
2023-04-06,60.7500,61.1301,59.0100,60.5700,59.3650,21024799,0.0000
2023-03-31,55.1900,58.1300,54.8700,57.5400,56.3953,22014009,0.0000
2023-03-24,54.7600,57.9550,53.7400,54.5700,53.4844,36783333,0.0000
