date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
2010-07-11,20.0,20.0,14.98,17.4,1.16,25550600.0,0.0
2010-07-18,17.95,21.5,16.9,20.64,1.376,15438900.0,0.0
2010-07-25,21.37,22.25,19.5,21.29,1.4193,7175700.0,0.0
2010-08-01,21.5,21.5,19.55,19.94,1.3293,3052000.0,0.0
2010-08-08,20.5,22.18,19.52,19.59,1.306,4399700.0,0.0
2010-08-15,19.9,19.98,17.39,18.32,1.2213,4216600.0,0.0
2010-08-22,18.45,19.59,18.2616,19.1,1.2733,2410100.0,0.0
2010-08-29,19.09,20.3891,18.56,19.7,1.3133,3077900.0,0.0
2010-09-05,19.7,21.3,19.33,21.05,1.4033,2350500.0,0.0
2010-09-12,20.61,21.05,19.76,20.17,1.3447,1294600.0,0.0
2010-09-19,20.89,23.16,19.8,20.23,1.3487,5583100.0,0.0
2010-09-26,20.67,21.55,19.5,20.1,1.34,3953400.0,0.0
2010-10-03,20.4,22.1499,20.05,20.6,1.3733,6395900.0,0.0
2010-10-10,20.43,21.28,20.3,20.43,1.362,1697800.0,0.0
2010-10-17,20.44,21.0299,20.03,20.54,1.3693,1312900.0,0.0
2010-10-24,20.52,20.95,20.0,20.72,1.3813,1298700.0,0.0
2010-10-31,20.94,21.87,20.51,21.84,1.456,1640700.0,0.0
2010-11-07,21.94,25.33,21.05,24.44,1.6293,4035900.0,0.0
2010-11-14,24.5,30.5,24.03,29.84,1.9893,9200800.0,0.0
2010-11-21,30.22,32.9395,28.42,30.99,2.066,6827100.0,0.0
2010-11-28,31.57,36.0,31.5,35.32,2.3547,4883100.0,0.0
2010-12-05,35.4122,36.42,30.87,31.49,2.0993,7834500.0,0.0
2010-12-12,31.35,32.92,29.56,31.52,2.1013,4081100.0,0.0
2010-12-19,31.64,31.77,27.761,31.36,2.0907,4522100.0,0.0
2010-12-26,31.64,32.86,29.92,30.09,2.006,3687000.0,0.0
2011-01-02,28.02,28.58,25.0,26.63,1.7753,20136400.0,0.0
2011-01-09,26.84,28.58,25.9,28.24,1.8827,8226200.0,0.0
2011-01-16,28.17,28.71,25.61,25.75,1.7167,5932900.0,0.0
2011-01-23,25.48,25.64,22.37,23.04,1.536,7490100.0,0.0
