date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
1999-11-14,71.0,77.94,71.0,77.87,18.5319,20409600.0,0.44
1999-11-21,77.87,81.37,77.0,79.69,18.965,23616900.0,0.0
1999-11-28,79.69,80.06,77.56,78.0,18.5628,13773000.0,0.0
1999-12-05,77.87,83.13,77.56,82.53,19.6409,27466900.0,0.0
1999-12-12,82.25,86.56,82.0,82.81,19.7075,28853600.0,0.0
1999-12-19,83.38,84.81,81.06,82.62,19.6623,35474500.0,0.0
1999-12-26,83.25,84.06,80.06,83.81,19.9455,15132300.0,0.0
2000-01-02,83.94,84.19,79.75,80.56,19.1721,14214100.0,0.0
2000-01-09,79.5,86.25,76.5,84.94,20.2145,40759700.0,0.0
2000-01-16,84.19,86.0,82.81,83.75,19.9312,25453500.0,0.0
2000-01-23,82.75,85.88,82.38,85.0,20.2287,24487600.0,0.0
2000-01-30,85.44,86.31,78.88,78.88,18.7723,27294200.0,0.0
2000-02-06,78.63,84.88,77.88,80.88,19.2482,29943700.0,0.0
2000-02-13,79.5,81.88,72.69,73.88,17.6838,27411400.0,0.44
2000-02-20,74.5,80.56,74.44,75.0,17.9519,28140200.0,0.0
2000-02-27,76.25,76.94,70.0,71.06,17.0088,21161700.0,0.0
2000-03-05,71.0,77.69,69.88,75.69,18.117,26119500.0,0.0
2000-03-12,74.0,82.0,72.0,77.03,18.4378,36813300.0,0.0
2000-03-19,76.5,79.94,74.38,77.13,18.4617,28462400.0,0.0
2000-03-26,76.19,77.75,74.31,77.25,18.4904,27369700.0,0.0
2000-04-02,77.25,81.94,75.63,78.0,18.67,32280000.0,0.0
2000-04-09,77.75,83.13,77.69,79.56,19.0434,27731200.0,0.0
2000-04-16,79.0,81.75,78.0,78.75,18.8495,24555400.0,0.0
2000-04-23,78.63,79.38,75.0,79.0,18.9093,24212200.0,0.0
2000-04-30,78.63,81.5,77.19,77.69,18.5958,24211200.0,0.0
2000-05-07,78.31,80.0,77.0,80.0,19.1487,20589800.0,0.0
2000-05-14,79.88,83.38,78.75,82.02,19.7363,23034800.0,0.44
2000-05-21,81.94,83.88,79.94,81.75,19.6714,22156500.0,0.0
2000-05-28,82.38,83.94,80.69,82.38,19.8229,21009800.0,0.0
2000-06-04,82.0,83.88,78.63,79.19,19.0553,25273600.0,0.0
2000-06-11,79.0,82.5,78.75,79.19,19.0553,25207000.0,0.0
2000-06-18,79.88,84.38,79.88,84.38,20.3042,30444600.0,0.0
2000-06-25,83.94,84.75,81.75,83.13,20.0034,21183500.0,0.0
2000-07-02,83.25,84.19,77.69,78.5,18.8893,25597100.0,0.0
2000-07-09,78.81,79.75,76.56,78.52,18.8941,21283300.0,0.0
2000-07-16,78.5,80.75,76.44,77.56,18.6631,20363700.0,0.0
2000-07-23,79.94,79.94,76.88,77.13,18.5597,24007600.0,0.0
2000-07-30,77.0,81.0,75.13,80.0,19.2503,30679400.0,0.0
2000-08-06,80.06,83.56,79.19,81.7,19.6593,29217600.0,0.0
2000-08-13,80.88,82.44,80.38,81.38,19.6887,18127700.0,0.44
2000-08-20,82.19,84.0,81.25,82.94,20.0661,18826500.0,0.0
2000-08-27,83.0,84.75,82.44,82.94,20.0661,19258300.0,0.0
2000-09-03,82.69,83.81,81.19,82.5,19.9597,17912200.0,0.0
2000-09-10,83.13,84.19,82.25,83.5,20.2016,20204300.0,0.0
2000-09-17,83.5,89.88,83.44,89.5,21.6532,36712400.0,0.0
2000-09-24,89.13,90.75,84.88,86.5,20.9274,40450100.0,0.0
