,value
2023-09-11,82.15
2023-08-31,82.89
2023-07-31,85.72
2023-06-30,82.87
2023-05-31,74.6491
2023-04-28,80.1517
2023-03-31,80.2612
2023-02-28,81.0796
2023-01-31,83.8737
2022-12-30,76.9676
2022-11-30,81.4565
2022-10-31,72.922
2022-09-30,66.9469
2022-08-31,73.8206
2022-07-29,76.4833
2022-06-30,72.0488
2022-05-31,83.6469
2022-04-29,82.6746
2022-03-31,85.7082
2022-02-28,80.7691
2022-01-31,81.8056
2021-12-31,87.7727
2021-11-30,81.5787
2021-10-29,82.0317
2021-09-30,76.2397
2021-08-31,82.1381
2021-07-30,80.6126
2021-06-30,78.972
2021-05-28,83.367
2021-04-30,79.3353
2021-03-31,75.2845
2021-02-26,69.9738
2021-01-29,67.2053
2020-12-31,68.8702
2020-11-30,67.2004
2020-10-30,59.8074
2020-09-30,60.2428
2020-08-31,59.3388
2020-07-31,56.8612
2020-06-30,53.0836
2020-05-29,51.9515
2020-04-30,48.6067
2020-03-31,42.1983
2020-02-28,49.0485
2020-01-31,53.6165
2019-12-31,57.1426
2019-11-29,55.5539
2019-10-31,53.8421
2019-09-30,53.8514
2019-08-30,52.1909
2019-07-31,53.71
2019-06-28,53.8573
2019-05-31,48.2739
2019-04-30,52.5751
2019-03-29,50.7905
2019-02-28,50.1622
2019-01-31,48.6132
2018-12-31,46.0344
2018-11-30,49.4372
2018-10-31,47.6266
2018-09-28,52.4427
2018-08-31,53.4011
2018-07-31,53.8156
2018-06-29,52.32
2018-05-31,52.1747
2018-04-30,51.1254
2018-03-29,51.0626
2018-02-28,53.2715
2018-01-31,56.2374
2017-12-29,54.0755
2017-11-30,52.9509
2017-10-31,52.453
2017-09-29,50.4972
2017-08-31,48.6969
2017-07-31,48.3167
2017-06-30,47.5828
2017-05-31,46.719
2017-04-28,46.7102
2017-03-31,46.1292
2017-02-28,45.8448
2017-01-31,45.5903
2016-12-30,43.6074
2016-11-30,43.5295
2016-10-31,40.749
2016-09-30,41.6206
2016-08-31,42.1085
2016-07-29,42.2212
