,value
2023-09-11,67.97
2023-08-31,67.73
2023-07-31,68.79
2023-06-30,65.08
2023-05-31,62.1387
2023-04-28,59.8025
2023-03-31,57.8757
2023-02-28,53.2684
2023-01-31,54.8415
2022-12-30,47.7822
2022-11-30,51.1584
2022-10-31,47.8809
2022-09-30,47.5631
2022-08-31,53.896
2022-07-29,55.8683
2022-06-30,53.787
2022-05-31,59.5015
2022-04-29,58.3941
2022-03-31,68.0045
2022-02-28,67.5053
2022-01-31,72.9294
2021-12-31,76.6079
2021-11-30,74.1765
2021-10-29,79.0284
2021-09-30,78.8414
2021-08-31,84.1176
2021-07-30,80.9541
2021-06-30,79.5492
2021-05-28,77.2704
2021-04-30,76.5447
2021-03-31,71.9059
2021-02-26,70.067
2021-01-29,65.4755
2020-12-31,66.0629
2020-11-30,63.9236
2020-10-30,57.8636
2020-09-30,58.059
2020-08-31,61.6999
2020-07-31,56.6964
2020-06-30,52.7073
2020-05-29,52.5821
2020-04-30,48.9417
2020-03-31,43.0624
2020-02-28,49.2708
2020-01-31,52.3284
2019-12-31,52.0566
2019-11-29,50.9076
2019-10-31,49.0286
2019-09-30,47.9631
2019-08-30,47.8602
2019-07-31,49.068
2019-06-28,47.5606
2019-05-31,45.3944
2019-04-30,48.2671
2019-03-29,45.086
2019-02-28,44.1882
2019-01-31,44.3903
2018-12-31,39.7232
2018-11-30,43.167
2018-10-31,44.1548
2018-09-28,46.9936
2018-08-31,47.0387
2018-07-31,46.35
