,value
2023-09-11,90.84
2023-08-31,88.92
2023-07-31,87.48
2023-06-30,81.17
2023-05-31,75.9063
2023-04-28,84.37
2023-03-31,82.0906
2023-02-28,82.1025
2023-01-31,88.2241
2022-12-30,85.8108
2022-11-30,88.5096
2022-10-31,87.393
2022-09-30,69.9338
2022-08-31,77.3253
2022-07-29,75.3274
2022-06-30,68.6899
2022-05-31,82.8774
2022-04-29,71.4247
2022-03-31,72.6508
2022-02-28,66.4701
2022-01-31,62.0815
2021-12-31,52.2682
2021-11-30,50.7459
2021-10-29,53.4231
2021-09-30,48.4219
2021-08-31,44.435
2021-07-30,45.3439
2021-06-30,49.4569
2021-05-28,47.4674
2021-04-30,44.9035
2021-03-31,44.6035
2021-02-26,43.3122
2021-01-29,35.3694
2020-12-31,34.0921
2020-11-30,32.6216
2020-10-30,25.4868
2020-09-30,26.5783
2020-08-31,31.1077
2020-07-31,31.4393
2020-06-30,33.0274
2020-05-29,33.3951
2020-04-30,32.7403
2020-03-31,25.0377
2020-02-28,38.0898
2020-01-31,44.964
2019-12-31,50.5171
2019-11-29,47.6459
2019-10-31,46.8935
2019-09-30,47.8967
2019-08-30,46.0836
2019-07-31,50.2687
2019-06-28,51.0784
2019-05-31,46.6944
2019-04-30,52.5262
2019-03-29,52.5341
2019-02-28,51.4396
2019-01-31,50.2807
2018-12-31,45.2117
2018-11-30,51.6299
2018-10-31,52.4499
2018-09-28,59.1506
2018-08-31,57.7408
2018-07-31,59.8196
2018-06-29,58.9043
2018-05-31,58.5618
2018-04-30,56.8593
2018-03-29,51.9291
2018-02-28,51.0528
2018-01-31,57.2566
2017-12-29,55.2754
2017-11-30,52.5079
2017-10-31,51.6037
2017-09-29,52.0368
2017-08-31,47.2291
2017-07-31,49.9667
2017-06-30,48.6916
2017-05-31,48.7514
2017-04-28,50.5393
2017-03-31,52.074
2017-02-28,52.8592
2017-01-31,53.9848
2016-12-30,55.7769
2016-11-30,54.8295
2016-10-31,50.5495
2016-09-30,52.0155
2016-08-31,50.1632
2016-07-29,49.3358
2016-06-30,49.9655
