,value
2023-09-11,34.46
2023-08-31,34.38
2023-07-31,35.33
2023-06-30,33.71
2023-05-31,31.6168
2023-04-28,33.0204
2023-03-31,32.005
2023-02-28,35.3857
2023-01-31,36.2178
2022-12-30,33.8799
2022-11-30,35.7458
2022-10-31,33.452
2022-09-30,29.8882
2022-08-31,32.3685
2022-07-29,33.0149
2022-06-30,30.8015
2022-05-31,34.5581
2022-04-29,33.6228
2022-03-31,37.3349
2022-02-28,37.3834
2022-01-31,37.9074
2021-12-31,37.8977
2021-11-30,36.6604
2021-10-29,38.8816
2021-09-30,36.2451
2021-08-31,36.9216
2021-07-30,35.114
2021-06-30,35.2775
2021-05-28,36.3863
2021-04-30,34.7293
2021-03-31,32.6126
2021-02-26,30.8075
2021-01-29,27.6038
2020-12-31,28.1091
2020-11-30,26.4436
2020-10-30,22.6307
2020-09-30,22.8299
2020-08-31,23.6352
2020-07-31,22.6638
2020-06-30,21.8244
2020-05-29,21.9388
2020-04-30,21.3578
2020-03-31,19.5116
2020-02-28,24.6962
2020-01-31,27.8262
2019-12-31,28.5877
2019-11-29,27.8607
2019-10-31,26.5208
2019-09-30,25.8739
2019-08-30,24.7488
2019-07-31,25.9715
2019-06-28,25.3739
2019-05-31,23.7903
2019-04-30,25.6287
2019-03-29,23.5159
2019-02-28,24.1347
2019-01-31,23.6068
2018-12-31,21.6775
2018-11-30,24.3891
2018-10-31,23.7651
2018-09-28,24.9407
2018-08-31,25.5058
2018-07-31,25.1637
2018-06-29,23.9393
2018-05-31,24.3649
2018-04-30,24.6069
2018-03-29,24.7145
2018-02-28,25.7865
2018-01-31,26.5636
2017-12-29,24.929
2017-11-30,24.4678
2017-10-31,23.6498
2017-09-29,22.9919
2017-08-31,21.8694
2017-07-31,22.2147
2017-06-30,21.8429
2017-05-31,20.507
2017-04-28,20.754
2017-03-31,20.9304
2017-02-28,21.5673
2017-01-31,20.4863
2016-12-30,20.4336
2016-11-30,19.6932
2016-10-31,17.2698
2016-09-30,16.8849
2016-08-31,17.3855
2016-07-29,16.7413
2016-06-30,16.1786
2016-05-31,16.7226
2016-04-29,16.4128
2016-03-31,15.8424
2016-02-29,14.7697
2016-01-29,15.2109
2015-12-31,16.6886
2015-11-30,17.0899
2015-10-30,16.7559
2015-09-30,15.7678
2015-08-31,16.2224
2015-07-31,17.4548
2015-06-30,16.8801
2015-05-29,16.957
2015-04-30,16.633
2015-03-31,16.6192
2015-02-27,16.7232
2015-01-30,15.8029
2014-12-31,16.9842
2014-11-28,16.6724
2014-10-31,16.2897
2014-09-30,15.8319
2014-08-29,15.8957
2014-07-31,15.2492
2014-06-30,15.4738
2014-05-30,15.1083
2014-04-30,14.8846
2014-03-31,15.1421
