,value
2023-09-11,105.66
2023-08-31,108.23
2023-07-31,110.42
2023-06-30,107.32
2023-05-31,96.4616
2023-04-28,99.5989
2023-03-31,100.7742
2023-02-28,100.1596
2023-01-31,101.0326
2022-12-30,97.4218
2022-11-30,100.4222
2022-10-31,93.1462
2022-09-30,81.7831
2022-08-31,91.3131
2022-07-29,93.9759
2022-06-30,85.8204
2022-05-31,92.6526
2022-04-29,93.0831
2022-03-31,100.7536
2022-02-28,97.4075
2022-01-31,98.2364
2021-12-31,103.1804
2021-11-30,97.8903
2021-10-29,101.504
2021-09-30,95.0441
2021-08-31,101.1927
2021-07-30,100.0792
2021-06-30,99.1497
2021-05-28,101.4691
2021-04-30,98.3899
2021-03-31,95.0307
2021-02-26,87.1948
2021-01-29,81.575
2020-12-31,85.2125
2020-11-30,84.3611
2020-10-30,72.7079
2020-09-30,73.7716
2020-08-31,74.2682
2020-07-31,68.4649
2020-06-30,65.5729
2020-05-29,64.3044
2020-04-30,61.0165
2020-03-31,56.0751
2020-02-28,68.8863
2020-01-31,76.4555
2019-12-31,76.7949
2019-11-29,76.9514
2019-10-31,73.6403
2019-09-30,72.8149
2019-08-30,70.6843
2019-07-31,72.6063
2019-06-28,72.2331
2019-05-31,66.9299
2019-04-30,72.4664
2019-03-29,69.6981
2019-02-28,70.5075
2019-01-31,66.2866
2018-12-31,59.489
2018-11-30,66.5781
2018-10-31,64.1367
2018-09-28,71.9565
2018-08-31,70.4255
2018-07-31,70.2611
2018-06-29,65.429
2018-05-31,67.7239
2018-04-30,65.7042
2018-03-29,67.5874
2018-02-28,69.4558
2018-01-31,72.2467
2017-12-29,68.5678
2017-11-30,67.1546
2017-10-31,64.4688
2017-09-29,63.9911
2017-08-31,61.4223
2017-07-31,61.2877
2017-06-30,61.1082
2017-05-31,60.2948
2017-04-28,59.2411
2017-03-31,58.098
2017-02-28,58.548
2017-01-31,56.3433
2016-12-30,55.3121
2016-11-30,55.1424
2016-10-31,50.548
2016-09-30,51.5817
2016-08-31,51.4839
2016-07-29,51.0006
2016-06-30,49.2169
2016-05-31,48.8684
2016-04-29,49.0781
2016-03-31,48.4752
2016-02-29,45.3172
2016-01-29,43.4652
2015-12-31,46.091
2015-11-30,47.3038
2015-10-30,46.8977
2015-09-30,43.1127
2015-08-31,44.079
2015-07-31,46.5971
2015-06-30,46.4596
