,value
2023-09-11,173.69
2023-08-31,175.66
2023-07-31,178.35
2023-06-30,173.86
2023-05-31,163.9347
2023-04-28,150.513
2023-03-31,150.6926
2023-02-28,135.9343
2023-01-31,135.3767
2022-12-30,123.9061
2022-11-30,134.9835
2022-10-31,126.9516
2022-09-30,117.9269
2022-08-31,133.9608
2022-07-29,142.8347
2022-06-30,125.899
2022-05-31,138.7491
2022-04-29,139.7074
2022-03-31,157.0053
2022-02-28,151.9233
2022-01-31,159.7132
2021-12-31,171.4474
2021-11-30,166.0517
2021-10-29,158.9754
2021-09-30,146.9585
2021-08-31,156.0682
2021-07-30,150.7041
2021-06-30,145.065
2021-05-28,135.7221
2021-04-30,136.9969
2021-03-31,130.2402
2021-02-26,127.8963
2021-01-29,126.174
2020-12-31,127.2407
2020-11-30,120.5603
2020-10-30,108.2387
2020-09-30,113.9406
2020-08-31,120.3647
2020-07-31,107.583
2020-06-30,101.7961
2020-05-29,95.1872
2020-04-30,88.8135
2020-03-31,78.0871
2020-02-28,85.4092
2020-01-31,92.136
2019-12-31,88.5986
2019-11-29,84.9307
2019-10-31,80.6052
2019-09-30,77.5802
2019-08-30,76.3764
2019-07-31,77.5672
2019-06-28,74.9455
2019-05-31,68.7948
2019-04-30,75.3212
2019-03-29,70.814
2019-02-28,67.593
2019-01-31,63.2242
2018-12-31,59.1225
2018-11-30,64.5188
2018-10-31,65.8103
2018-09-28,71.5366
2018-08-31,71.5491
2018-07-31,67.1198
2018-06-29,65.7475
2018-05-31,65.9198
2018-04-30,61.7326
2018-03-29,61.6949
2018-02-28,64.0879
2018-01-31,64.3511
2017-12-29,60.1206
2017-11-30,59.7965
2017-10-31,58.9629
2017-09-29,55.3567
2017-08-31,54.9082
2017-07-31,53.3496
2017-06-30,51.0722
2017-05-31,52.5491
2017-04-28,50.5505
2017-03-31,49.5558
2017-02-28,48.4769
2017-01-31,46.3749
2016-12-30,44.7821
2016-11-30,43.7909
2016-10-31,43.7171
2016-09-30,44.049
2016-08-31,43.142
2016-07-29,42.6462
2016-06-30,39.8184
2016-05-31,40.3731
2016-04-29,38.491
2016-03-31,40.5284
2016-02-29,37.2431
2016-01-29,37.4885
2015-12-31,38.9339
2015-11-30,39.7575
2015-10-30,39.4772
2015-09-30,35.7329
2015-08-31,36.2183
2015-07-31,38.3339
2015-06-30,37.2716
2015-05-29,38.8689
2015-04-30,38.1609
2015-03-31,37.1392
2015-02-27,38.4612
2015-01-30,35.6138
2014-12-31,36.9081
2014-11-28,37.7291
2014-10-31,35.9976
2014-09-30,35.4293
2014-08-29,35.6133
2014-07-31,34.4816
2014-06-30,33.9069
2014-05-30,33.2845
2014-04-30,32.0788
2014-03-31,31.9908
2014-02-28,31.8528
2014-01-31,30.5121
2013-12-31,31.3183
2013-11-29,30.25
2013-10-31,29.3431
2013-09-30,27.9391
2013-08-30,27.248
2013-07-31,27.5343
2013-06-28,26.5407
2013-05-31,27.335
2013-04-30,26.5925
2013-03-28,26.1349
2013-02-28,25.4774
2013-01-31,25.2797
2012-12-31,24.8068
2012-11-30,24.9033
2012-10-31,24.6815
2012-09-28,26.3524
2012-08-31,25.9589
2012-07-31,24.9117
2012-06-29,24.4562
2012-05-31,23.6887
2012-04-30,25.2917
2012-03-30,25.5801
2012-02-29,24.4706
2012-01-31,22.8517
2011-12-30,21.5159
2011-11-30,21.5653
2011-10-31,21.8936
2011-09-30,19.865
2011-08-31,20.4954
2011-07-29,21.6442
2011-06-30,21.552
2011-05-31,22.1005
2011-04-29,22.3344
2011-03-31,21.7685
2011-02-28,22.1098
2011-01-31,21.6353
2010-12-31,20.9694
2010-11-30,19.8658
2010-10-29,20.1976
2010-09-30,19.0944
2010-08-31,17.1004
2010-07-30,18.1171
2010-06-30,16.8608
2010-05-28,17.8226
2010-04-30,19.2631
2010-03-31,19.0251
2010-02-26,17.8067
2010-01-29,17.2066
2009-12-31,18.8247
2009-11-30,17.7926
2009-10-30,16.8601
2009-09-30,17.0728
2009-08-31,16.3175
2009-07-31,16.0567
2009-06-30,14.8422
2009-05-29,14.3221
2009-04-30,13.9975
2009-03-31,12.6748
2009-02-27,11.3992
2009-01-30,11.8513
2008-12-31,12.4406
2008-11-28,12.2469
2008-10-31,13.2507
2008-09-30,15.933
2008-08-29,18.249
2008-07-31,17.8888
2008-06-30,18.337
2008-05-30,20.2316
2008-04-30,18.9945
2008-03-31,17.8772
2008-02-29,17.6734
2008-01-31,18.551
2007-12-31,21.2719
2007-11-30,20.858
2007-10-31,22.5578
2007-09-28,21.422
2007-08-31,20.6427
2007-07-31,20.2543
2007-06-29,20.2939
2007-05-31,20.3196
2007-04-30,19.3452
2007-03-30,18.4738
2007-02-28,18.2599
2007-01-31,18.7986
2006-12-29,18.4421
2006-11-30,18.5261
2006-10-31,18.0299
2006-09-29,17.3289
2006-08-31,16.5877
2006-07-31,15.4996
2006-06-30,15.9145
2006-05-31,15.9928
2006-04-28,17.1044
2006-03-31,17.3314
2006-02-28,16.9478
2006-01-31,16.9087
2005-12-30,16.3607
2005-11-30,16.8789
2005-10-31,15.876
2005-09-30,16.2491
2005-08-31,16.2103
2005-07-29,16.3658
2005-06-30,15.4872
2005-05-31,15.6894
2005-04-29,14.6709
2005-03-31,15.2073
2005-02-28,15.5105
2005-01-31,15.4872
2004-12-31,16.4124
2004-11-30,15.9927
2004-10-29,15.2151
2004-09-30,14.5748
2004-08-31,14.1632
2004-07-30,14.8187
2004-06-30,15.7792
2004-05-28,15.36
2004-04-30,14.7806
2004-03-31,15.3676
2004-02-27,15.7868
2004-01-30,16.1985
2003-12-31,15.5353
2003-11-28,15.0626
2003-10-31,14.8506
2003-09-30,13.8364
2003-08-29,13.9575
2003-07-31,13.3217
2003-06-30,12.9205
2003-05-30,12.8297
2003-04-30,11.8154
2003-03-31,10.8239
2003-02-28,10.9904
2003-01-31,10.9374
2002-12-31,11.2023
2002-11-29,12.9089
2002-10-31,11.1425
2002-09-30,8.9306
2002-08-30,10.7197
2002-07-31,10.8103
2002-06-28,11.9427
2002-05-31,13.7846
2002-04-30,14.381
2002-03-28,16.3589
2002-02-28,15.5964
2002-01-31,17.9215
2001-12-31,18.1178
2001-11-30,18.5255
2001-10-31,16.1173
2001-09-28,14.532
2001-08-31,17.378
2001-07-31,19.7937
2001-06-29,21.2658
2001-05-31,20.8581
2001-04-30,21.7489
2001-03-30,18.7217
2001-02-28,21.145
2001-01-31,28.1581
2000-12-29,23.6362
2000-11-30,26.2331
2000-10-31,33.0046
2000-09-29,35.0127
2000-08-31,42.675
2000-07-31,38.7344
2000-06-30,40.9085
2000-05-31,37.2019
2000-04-28,41.52
2000-03-31,45.7173
2000-02-29,42.1843
2000-01-31,38.1682
1999-12-31,40.6745
