,value
2023-09-11,72.32
2023-08-31,72.76
2023-07-31,75.75
2023-06-30,74.17
2023-05-31,72.1542
2023-04-28,76.8903
2023-03-31,74.1797
2023-02-28,71.1815
2023-01-31,72.8714
2022-12-30,73.6718
2022-11-30,75.7373
2022-10-31,71.371
2022-09-30,65.4741
2022-08-31,71.274
2022-07-29,72.6193
2022-06-30,70.3673
2022-05-31,72.0728
2022-04-29,75.1408
2022-03-31,73.4471
2022-02-28,72.1621
2022-01-31,73.193
2021-12-31,74.2914
2021-11-30,67.2599
2021-10-29,68.1786
2021-09-30,65.8725
2021-08-31,68.7124
2021-07-30,67.9993
2021-06-30,66.5349
2021-05-28,66.9043
2021-04-30,65.7422
2021-03-31,64.5422
2021-02-26,59.4903
2021-01-29,60.2328
2020-12-31,63.3905
2020-11-30,62.3549
2020-10-30,58.0215
2020-09-30,59.7362
2020-08-31,60.7513
2020-07-31,58.0834
2020-06-30,54.3223
2020-05-29,54.4436
2020-04-30,53.552
2020-03-31,50.0683
2020-02-28,52.9907
2020-01-31,57.7332
2019-12-31,57.5505
2019-11-29,56.1981
2019-10-31,55.4367
2019-09-30,55.6723
2019-08-30,54.7133
2019-07-31,53.5509
2019-06-28,52.3255
2019-05-31,49.729
2019-04-30,51.6069
2019-03-29,50.1761
2019-02-28,48.3303
2019-01-31,47.4853
2018-12-31,45.164
2018-11-30,49.5795
2018-10-31,48.4779
2018-09-28,47.5261
2018-08-31,47.0617
2018-07-31,46.8779
2018-06-29,45.0927
2018-05-31,43.1268
2018-04-30,43.8129
2018-03-29,45.7061
2018-02-28,46.1249
2018-01-31,49.9333
2017-12-29,49.1302
2017-11-30,48.0519
2017-10-31,45.5143
2017-09-29,46.2773
2017-08-31,46.611
2017-07-31,47.1307
2017-06-30,46.807
2017-05-31,47.8824
2017-04-28,46.6481
2017-03-31,46.1409
2017-02-28,46.3362
2017-01-31,44.2254
2016-12-30,43.4854
2016-11-30,42.2221
2016-10-31,44.0753
2016-09-30,44.4176
2016-08-31,45.1138
2016-07-29,45.3793
2016-06-30,45.7526
2016-05-31,43.4242
2016-04-29,43.1273
2016-03-31,43.7541
2016-02-29,41.7744
2016-01-29,41.6431
