,value
2023-09-11,36.64
2023-08-31,37.02
2023-07-31,38.19
2023-06-30,37.69
2023-05-31,35.6932
2023-04-28,37.3867
2023-03-31,37.0203
2023-02-28,37.5778
2023-01-31,39.9185
2022-12-30,36.319
2022-11-30,38.1527
2022-10-31,35.7123
2022-09-30,35.0122
2022-08-31,40.3229
2022-07-29,42.722
2022-06-30,39.369
2022-05-31,42.272
2022-04-29,44.5471
2022-03-31,46.1913
2022-02-28,42.8383
2022-01-31,44.9959
2021-12-31,49.2445
2021-11-30,44.658
2021-10-29,45.0632
2021-09-30,41.8875
2021-08-31,44.6794
2021-07-30,43.4612
2021-06-30,41.5402
2021-05-28,40.2817
2021-04-30,39.8254
2021-03-31,36.7712
2021-02-26,34.4289
2021-01-29,33.8942
2020-12-31,33.7098
2020-11-30,33.2199
2020-10-30,31.0811
2020-09-30,32.1005
2020-08-31,32.7896
2020-07-31,32.7987
2020-06-30,31.4871
2020-05-29,31.1019
2020-04-30,30.4467
2020-03-31,27.8257
2020-02-28,32.763
2020-01-31,34.936
2019-12-31,34.4373
2019-11-29,34.0517
2019-10-31,34.6508
2019-09-30,34.6596
2019-08-30,34.3142
2019-07-31,32.7389
2019-06-28,32.1788
2019-05-31,31.6625
2019-04-30,31.2805
2019-03-29,31.4454
2019-02-28,29.9625
2019-01-31,29.6345
2018-12-31,26.76
2018-11-30,28.8762
2018-10-31,27.3749
2018-09-28,27.8184
2018-08-31,28.5745
2018-07-31,27.8991
2018-06-29,27.6121
2018-05-31,26.4328
2018-04-30,25.8552
2018-03-29,26.0143
2018-02-28,25.0555
2018-01-31,26.8862
2017-12-29,27.4104
2017-11-30,27.532
2017-10-31,26.7501
2017-09-29,26.5361
2017-08-31,26.904
2017-07-31,26.6343
2017-06-30,26.3156
2017-05-31,25.8214
2017-04-28,25.6512
2017-03-31,25.6107
2017-02-28,25.8838
2017-01-31,24.7321
2016-12-30,24.7643
2016-11-30,23.7384
2016-10-31,24.482
2016-09-30,25.9216
2016-08-31,26.2665
2016-07-29,27.2878
2016-06-30,26.4317
2016-05-31,24.9116
2016-04-29,24.4902
2016-03-31,25.099
2016-02-29,22.672
2016-01-29,22.5638
2015-12-31,24.1051
2015-11-30,23.5063
