,value
2023-09-11,63.44
2023-08-31,62.96
2023-07-31,67.07
2023-06-30,65.44
2023-05-31,64.4062
2023-04-28,68.4235
2023-03-31,67.1439
2023-02-28,64.0078
2023-01-31,68.0353
2022-12-30,69.4238
2022-11-30,69.7662
2022-10-31,65.2246
2022-09-30,63.9841
2022-08-31,72.126
2022-07-29,71.7476
2022-06-30,68.0414
2022-05-31,71.554
2022-04-29,68.5986
2022-03-31,71.6791
2022-02-28,64.9623
2022-01-31,66.2246
2021-12-31,68.4528
2021-11-30,62.407
2021-10-29,63.4887
2021-09-30,60.6136
2021-08-31,64.5455
2021-07-30,62.1253
2021-06-30,59.545
2021-05-28,60.8953
2021-04-30,62.3532
2021-03-31,59.8486
2021-02-26,54.1357
2021-01-29,57.6514
2020-12-31,58.1616
2020-11-30,57.7972
2020-10-30,57.3742
2020-09-30,54.6149
2020-08-31,54.0281
2020-07-31,55.4689
2020-06-30,51.4567
2020-05-29,53.9832
2020-04-30,51.7856
2020-03-31,50.1124
2020-02-28,55.6482
2020-01-31,61.7338
2019-12-31,57.8318
2019-11-29,55.9925
2019-10-31,57.0581
2019-09-30,57.4933
2019-08-30,55.1501
2019-07-31,52.4799
2019-06-28,52.5504
2019-05-31,50.9288
2019-04-30,51.331
2019-03-29,50.8588
2019-02-28,49.4788
2019-01-31,47.5261
2018-12-31,45.9291
2018-11-30,47.8384
2018-10-31,46.2033
2018-09-28,45.3083
2018-08-31,45.6058
2018-07-31,45.0258
2018-06-29,44.3179
2018-05-31,43.1073
2018-04-30,43.5891
2018-03-29,42.7184
2018-02-28,41.1589
2018-01-31,42.82
2017-12-29,44.1959
2017-11-30,47.0475
2017-10-31,45.8173
2017-09-29,44.0966
2017-08-31,45.347
2017-07-31,43.9033
2017-06-30,42.8639
2017-05-31,44.0591
2017-04-28,42.3079
2017-03-31,41.9887
2017-02-28,42.0474
2017-01-31,39.9438
2016-12-30,39.4483
2016-11-30,37.6103
2016-10-31,39.7664
2016-09-30,39.4124
2016-08-31,39.2737
2016-07-29,41.5792
2016-06-30,41.8585
2016-05-31,38.8932
2016-04-29,38.3155
2016-03-31,39.2651
2016-02-29,36.3631
2016-01-29,35.672
2015-12-31,33.9913
2015-11-30,33.2814
2015-10-30,34.0043
2015-09-30,33.6467
2015-08-31,32.6913
2015-07-31,33.8693
2015-06-30,31.9213
2015-05-29,33.9504
2015-04-30,33.7368
2015-03-31,33.897
2015-02-27,34.2402
2015-01-30,36.5794
2014-12-31,35.7467
2014-11-28,34.5161
2014-10-31,34.1184
2014-09-30,31.5822
2014-08-29,32.1873
2014-07-31,30.6776
2014-06-30,32.9161
2014-05-30,31.5147
2014-04-30,31.8612
2014-03-31,30.5708
2014-02-28,29.5815
2014-01-31,28.5943
2013-12-31,27.7679
2013-11-29,27.5204
2013-10-31,28.0631
2013-09-30,27.042
2013-08-30,26.7318
2013-07-31,28.1365
2013-06-28,26.9683
2013-05-31,26.7331
2013-04-30,29.3936
2013-03-28,27.7406
2013-02-28,26.3286
2013-01-31,25.7307
2012-12-31,24.5634
2012-11-30,24.566
2012-10-31,25.6616
2012-09-28,25.3102
2012-08-31,25.0176
2012-07-31,26.0982
2012-06-29,25.4581
2012-05-31,24.4536
2012-04-30,24.3172
2012-03-30,23.8979
2012-02-29,23.574
2012-01-31,23.4321
2011-12-30,24.3104
2011-11-30,23.5259
2011-10-31,23.2853
2011-09-30,22.4635
2011-08-31,22.4174
2011-07-29,21.9412
2011-06-30,22.1462
2011-05-31,22.1794
2011-04-29,21.7144
2011-03-31,20.8697
2011-02-28,20.8229
2011-01-31,20.57
2010-12-31,20.3235
2010-11-30,19.713
2010-10-29,20.3282
2010-09-30,20.1103
2010-08-31,19.5441
2010-07-30,19.265
2010-06-30,17.9265
2010-05-28,18.0537
2010-04-30,19.1083
2010-03-31,18.6186
2010-02-26,18.1309
2010-01-29,18.3735
2009-12-31,19.3006
2009-11-30,18.3012
2009-10-30,17.4587
2009-09-30,18.0368
2009-08-31,17.7922
2009-07-31,17.6157
2009-06-30,16.9765
2009-05-29,16.109
2009-04-30,15.5554
2009-03-31,15.3748
2009-02-27,15.0868
2009-01-30,17.2472
2008-12-31,17.2769
2008-11-28,17.7032
2008-10-31,17.2036
2008-09-30,19.4429
2008-08-29,21.9803
2008-07-31,22.1901
2008-06-30,23.7168
2008-05-30,23.893
2008-04-30,23.0659
2008-03-31,21.9439
2008-02-29,21.5967
2008-01-31,22.5212
2007-12-31,24.3071
2007-11-30,24.3515
2007-10-31,24.1919
2007-09-28,22.6817
2007-08-31,21.8437
2007-07-31,21.5042
2007-06-29,22.3983
2007-05-31,23.517
2007-04-30,23.4102
2007-03-30,22.3142
2007-02-28,21.4949
2007-01-31,20.4551
2006-12-29,20.5278
2006-11-30,20.3537
2006-10-31,19.8274
2006-09-29,18.8302
2006-08-31,19.0721
2006-07-31,18.562
2006-06-30,17.7118
2006-05-31,17.3142
2006-04-28,17.0368
2006-03-31,16.7703
2006-02-28,17.5842
2006-01-31,17.3574
2005-12-30,16.9471
2005-11-30,16.8026
2005-10-31,16.8293
2005-09-30,17.9798
2005-08-31,17.2516
2005-07-29,17.1401
2005-06-30,16.7629
2005-05-31,15.8225
2005-04-29,15.8331
2005-03-31,15.3589
2005-02-28,15.1907
2005-01-31,14.8717
2004-12-31,14.5632
2004-11-30,14.2133
2004-10-29,13.6073
2004-09-30,12.9754
2004-08-31,12.8941
2004-07-30,12.3907
2004-06-30,12.2057
2004-05-28,11.9985
2004-04-30,11.8559
2004-03-31,12.3855
2004-02-27,12.2541
2004-01-30,12.0268
2003-12-31,11.7843
2003-11-28,11.06
2003-10-31,11.035
2003-09-30,10.96
2003-08-29,10.4412
2003-07-31,10.2378
2003-06-30,10.9719
2003-05-30,10.8244
2003-04-30,9.831
2003-03-31,9.0491
2003-02-28,8.6144
2003-01-31,9.1011
2002-12-31,9.3201
2002-11-29,9.0285
2002-10-31,8.7736
2002-09-30,8.9804
2002-08-30,10.2141
2002-07-31,9.8245
2002-06-28,11.5205
2002-05-31,12.3518
2002-04-30,12.4553
2002-03-28,13.2599
2002-02-28,12.5896
2002-01-31,12.613
2001-12-31,13.0844
2001-11-30,12.6775
2001-10-31,12.8397
2001-09-28,13.553
2001-08-31,13.6805
2001-07-31,14.186
2001-06-29,14.3147
2001-05-31,15.0715
2001-04-30,14.9665
2001-03-30,14.2775
2001-02-28,14.4845
2001-01-31,14.19
2000-12-29,15.0372
2000-11-30,15.1295
2000-10-31,15.1383
2000-09-29,14.3052
2000-08-31,12.6368
2000-07-31,12.1621
2000-06-30,11.9775
2000-05-31,12.3966
2000-04-28,12.4228
2000-03-31,11.6595
2000-02-29,10.5131
2000-01-31,11.968
1999-12-31,12.1845
