,value
2023-09-11,132.97
2023-08-31,133.21
2023-07-31,134.15
2023-06-30,132.73
2023-05-31,127.3049
2023-04-28,132.9815
2023-03-31,128.9282
2023-02-28,126.1616
2023-01-31,132.3025
2022-12-30,134.7728
2022-11-30,137.3496
2022-10-31,131.1549
2022-09-30,119.6548
2022-08-31,122.7691
2022-07-29,130.2872
2022-06-30,126.1936
2022-05-31,129.5869
2022-04-29,127.6857
2022-03-31,134.2518
2022-02-28,126.9656
2022-01-31,128.2063
2021-12-31,137.6438
2021-11-30,126.2532
2021-10-29,130.2336
2021-09-30,123.8883
2021-08-31,131.1199
2021-07-30,128.1525
2021-06-30,122.14
2021-05-28,119.4008
2021-04-30,117.208
2021-03-31,112.7739
2021-02-26,108.4117
2021-01-29,110.7415
2020-12-31,109.2107
2020-11-30,105.2102
2020-10-30,97.4637
2020-09-30,101.126
2020-08-31,103.3721
2020-07-31,100.7654
2020-06-30,95.5519
2020-05-29,97.9429
2020-04-30,94.8242
2020-03-31,84.2227
2020-02-28,87.606
2020-01-31,93.7831
2019-12-31,96.3562
2019-11-29,93.119
2019-10-31,88.6826
2019-09-30,84.3584
2019-08-30,84.45
2019-07-31,84.9533
2019-06-28,86.3515
2019-05-31,81.011
2019-04-30,82.8488
2019-03-29,85.1599
2019-02-28,84.753
2019-01-31,83.8468
2018-12-31,79.9998
2018-11-30,88.2504
2018-10-31,81.6503
2018-09-28,87.5876
2018-08-31,85.0747
2018-07-31,81.5444
2018-06-29,76.5287
2018-05-31,75.2875
2018-04-30,75.1505
2018-03-29,74.3648
2018-02-28,76.5992
2018-01-31,80.2043
2017-12-29,75.27
2017-11-30,75.6904
2017-10-31,73.5503
2017-09-29,74.1125
2017-08-31,73.4425
2017-07-31,72.1777
2017-06-30,71.5904
2017-05-31,68.4642
2017-04-28,67.9423
2017-03-31,66.9164
2017-02-28,67.2384
2017-01-31,63.2304
2016-12-30,61.8137
2016-11-30,61.374
2016-10-31,60.1331
2016-09-30,64.3735
2016-08-31,64.7039
2016-07-29,66.8737
2016-06-30,63.7657
2016-05-31,63.1927
2016-04-29,61.8118
2016-03-31,60.0309
2016-02-29,58.4504
2016-01-29,58.6629
2015-12-31,63.5699
2015-11-30,62.4895
2015-10-30,62.6916
2015-09-30,58.2011
2015-08-31,61.7177
2015-07-31,67.0586
2015-06-30,65.1324
2015-05-29,65.3882
2015-04-30,62.569
2015-03-31,63.2592
2015-02-27,62.8574
2015-01-30,60.2731
2014-12-31,59.4987
2014-11-28,60.3463
2014-10-31,58.3178
2014-09-30,55.4049
2014-08-29,55.1653
2014-07-31,52.6169
2014-06-30,52.5478
2014-05-30,51.4576
2014-04-30,50.0204
2014-03-31,50.3388
2014-02-28,50.9771
2014-01-31,47.9926
2013-12-31,47.5466
2013-11-29,47.1988
2013-10-31,45.0721
2013-09-30,43.2101
2013-08-30,41.867
2013-07-31,43.3981
2013-06-28,40.4975
2013-05-31,40.74
2013-04-30,40.0795
2013-03-28,38.9608
2013-02-28,36.6348
