,value
2023-09-11,173.29
2023-08-31,170.71
2023-07-31,173.74
2023-06-30,169.81
2023-05-31,151.3076
2023-04-28,147.565
2023-03-31,149.2417
2023-02-28,144.8095
2023-01-31,147.9537
2022-12-30,128.5117
2022-11-30,145.0326
2022-10-31,142.9092
2022-09-30,141.3415
2022-08-31,153.982
2022-07-29,161.23
2022-06-30,136.1291
2022-05-31,152.678
2022-04-29,160.9175
2022-03-31,182.771
2022-02-28,175.0212
2022-01-31,182.4392
2021-12-31,201.6646
2021-11-30,201.3579
2021-10-29,198.1175
2021-09-30,176.7446
2021-08-31,180.6049
2021-07-30,177.4383
2021-06-30,175.5895
2021-05-28,169.724
2021-04-30,175.6944
2021-03-31,165.04
2021-02-26,157.9953
2021-01-29,158.8385
2020-12-31,157.6326
2020-11-30,153.8929
2020-10-30,139.9088
2020-09-30,143.833
2020-08-31,146.5599
2020-07-31,133.7778
2020-06-30,124.7063
2020-05-29,120.9901
2020-04-30,113.5956
2020-03-31,95.5528
2020-02-28,112.3019
2020-01-31,121.5029
2019-12-31,121.5998
2019-11-29,118.3307
2019-10-31,116.7846
2019-09-30,116.6396
2019-08-30,115.1705
2019-07-31,116.2684
2019-06-28,114.8045
2019-05-31,106.4803
2019-04-30,115.2433
2019-03-29,109.2733
2019-02-28,105.4218
2019-01-31,104.054
2018-12-31,94.7084
2018-11-30,102.8859
2018-10-31,100.3993
2018-09-28,111.6797
2018-08-31,111.0887
2018-07-31,105.6934
2018-06-29,103.8221
2018-05-31,100.1971
2018-04-30,98.2455
2018-03-29,95.9623
2018-02-28,98.3065
2018-01-31,101.8394
2017-12-29,93.2244
2017-11-30,90.9892
2017-10-31,86.6021
2017-09-29,84.804
2017-08-31,84.1102
2017-07-31,85.705
2017-06-30,84.0821
2017-05-31,85.1548
2017-04-28,84.2289
2017-03-31,82.2555
2017-02-28,80.5376
2017-01-31,79.1016
2016-12-30,75.9032
2016-11-30,75.8713
2016-10-31,72.3953
2016-09-30,74.1936
2016-08-31,74.3914
2016-07-29,75.3702
2016-06-30,72.0828
2016-05-31,72.9135
2016-04-29,72.8767
2016-03-31,72.7847
2016-02-29,68.2163
2016-01-29,67.9139
2015-12-31,71.626
2015-11-30,73.7163
2015-10-30,73.8897
2015-09-30,67.7436
2015-08-31,68.1624
2015-07-31,72.926
2015-06-30,69.526
2015-05-29,69.1419
2015-04-30,68.2448
2015-03-31,68.281
2015-02-27,68.6147
2015-01-30,63.2137
2014-12-31,65.1646
2014-11-28,64.5903
2014-10-31,61.2533
2014-09-30,59.9851
2014-08-29,61.695
2014-07-31,59.0683
2014-06-30,59.8303
2014-05-30,58.6914
2014-04-30,57.0472
2014-03-31,57.8336
